dato;produksjon
01.01.03;399
02.01.03;786
03.01.03;145
04.01.03;761
05.01.03;227
06.01.03;716
07.01.03;792
08.01.03;953
09.01.03;354
10.01.03;763
11.01.03;985
12.01.03;1046
13.01.03;373
14.01.03;458
15.01.03;1182
16.01.03;983
17.01.03;1073
18.01.03;876
19.01.03;812
20.01.03;800
21.01.03;318
22.01.03;376
23.01.03;735
24.01.03;760
25.01.03;759
26.01.03;634
27.01.03;849
28.01.03;242
29.01.03;221
30.01.03;254
31.01.03;598
01.02.03;855
02.02.03;388
03.02.03;382
04.02.03;266
05.02.03;166
06.02.03;289
07.02.03;593
08.02.03;995
09.02.03;801
10.02.03;474
11.02.03;763
12.02.03;1037
13.02.03;1090
14.02.03;656
15.02.03;1085
16.02.03;755
17.02.03;702
18.02.03;636
19.02.03;644
20.02.03;782
21.02.03;592
22.02.03;276
23.02.03;691
24.02.03;593
25.02.03;233
26.02.03;691
27.02.03;285
28.02.03;159
01.03.03;320
02.03.03;444
03.03.03;393
04.03.03;561
05.03.03;270
06.03.03;293
07.03.03;907
08.03.03;615
09.03.03;614
10.03.03;1212
11.03.03;1265
12.03.03;991
13.03.03;1440
14.03.03;1068
15.03.03;697
16.03.03;1081
17.03.03;600
18.03.03;1004
19.03.03;566
20.03.03;294
21.03.03;1079
22.03.03;1207
23.03.03;1209
24.03.03;638
25.03.03;432
26.03.03;1385
27.03.03;1375
28.03.03;642
29.03.03;1116
30.03.03;1077
31.03.03;383
01.04.03;877
02.04.03;1015
03.04.03;1104
04.04.03;1204
05.04.03;1225
06.04.03;219
07.04.03;390
08.04.03;522
09.04.03;1007
10.04.03;871
11.04.03;969
12.04.03;323
13.04.03;316
14.04.03;173
15.04.03;372
16.04.03;300
17.04.03;523
18.04.03;782
19.04.03;841
20.04.03;645
21.04.03;353
22.04.03;938
23.04.03;1190
24.04.03;1035
25.04.03;447
26.04.03;280
27.04.03;335
28.04.03;619
29.04.03;1025
30.04.03;147
01.05.03;436
02.05.03;215
03.05.03;213
04.05.03;121
05.05.03;484
06.05.03;487
07.05.03;482
08.05.03;549
09.05.03;598
10.05.03;216
11.05.03;152
12.05.03;151
13.05.03;545
14.05.03;987
15.05.03;630
16.05.03;268
17.05.03;662
18.05.03;171
19.05.03;110
20.05.03;194
21.05.03;216
22.05.03;136
23.05.03;179
24.05.03;72
25.05.03;43
26.05.03;580
27.05.03;1157
28.05.03;448
29.05.03;547
30.05.03;908
31.05.03;833
01.06.03;156
02.06.03;179
03.06.03;337
04.06.03;406
05.06.03;784
06.06.03;408
07.06.03;276
08.06.03;235
09.06.03;757
10.06.03;548
11.06.03;118
12.06.03;342
13.06.03;295
14.06.03;397
15.06.03;248
16.06.03;134
17.06.03;313
18.06.03;180
19.06.03;791
20.06.03;337
21.06.03;236
22.06.03;271
23.06.03;213
24.06.03;254
25.06.03;352
26.06.03;351
27.06.03;73
28.06.03;436
29.06.03;638
30.06.03;63
01.07.03;242
02.07.03;478
03.07.03;497
04.07.03;382
05.07.03;213
06.07.03;110
07.07.03;84
08.07.03;127
09.07.03;177
10.07.03;166
11.07.03;319
12.07.03;197
13.07.03;650
14.07.03;229
15.07.03;69
16.07.03;362
17.07.03;909
18.07.03;270
19.07.03;199
20.07.03;148
21.07.03;102
22.07.03;147
23.07.03;469
24.07.03;548
25.07.03;726
26.07.03;185
27.07.03;467
28.07.03;324
29.07.03;540
30.07.03;179
31.07.03;212
01.08.03;224
02.08.03;332
03.08.03;470
04.08.03;847
05.08.03;244
06.08.03;80
07.08.03;253
08.08.03;273
09.08.03;245
10.08.03;146
11.08.03;228
12.08.03;222
13.08.03;372
14.08.03;904
15.08.03;522
16.08.03;188
17.08.03;111
18.08.03;380
19.08.03;299
20.08.03;650
21.08.03;419
22.08.03;531
23.08.03;259
24.08.03;152
25.08.03;153
26.08.03;458
27.08.03;619
28.08.03;948
29.08.03;412
30.08.03;233
31.08.03;159
01.09.03;38
02.09.03;908
03.09.03;1329
04.09.03;1421
05.09.03;406
06.09.03;462
07.09.03;140
08.09.03;249
09.09.03;249
10.09.03;300
11.09.03;430
12.09.03;449
13.09.03;778
14.09.03;1338
15.09.03;1444
16.09.03;790
17.09.03;394
18.09.03;993
19.09.03;512
20.09.03;197
21.09.03;591
22.09.03;1166
23.09.03;810
24.09.03;1415
25.09.03;812
26.09.03;638
27.09.03;471
28.09.03;209
29.09.03;61
30.09.03;124
01.10.03;420
02.10.03;390
03.10.03;1062
04.10.03;1706
05.10.03;677
06.10.03;378
07.10.03;107
08.10.03;1057
09.10.03;799
10.10.03;672
11.10.03;763
12.10.03;588
13.10.03;494
14.10.03;236
15.10.03;713
16.10.03;614
17.10.03;988
18.10.03;805
19.10.03;490
20.10.03;162
21.10.03;734
22.10.03;592
23.10.03;794
24.10.03;692
25.10.03;619
26.10.03;550
27.10.03;1496
28.10.03;1408
29.10.03;621
30.10.03;396
31.10.03;414
01.11.03;469
02.11.03;628
03.11.03;584
04.11.03;967
05.11.03;717
06.11.03;827
07.11.03;657
08.11.03;542
09.11.03;831
10.11.03;398
11.11.03;745
12.11.03;377
13.11.03;183
14.11.03;367
15.11.03;84
16.11.03;101
17.11.03;395
18.11.03;391
19.11.03;625
20.11.03;172
21.11.03;417
22.11.03;816
23.11.03;758
24.11.03;429
25.11.03;617
26.11.03;1074
27.11.03;790
28.11.03;523
29.11.03;521
30.11.03;648
01.12.03;363
02.12.03;728
03.12.03;1230
04.12.03;1295
05.12.03;1287
06.12.03;1001
07.12.03;1350
08.12.03;882
09.12.03;759
10.12.03;1123
11.12.03;1381
12.12.03;931
13.12.03;842
14.12.03;1155
15.12.03;876
16.12.03;933
17.12.03;1291
18.12.03;1216
19.12.03;1322
20.12.03;805
21.12.03;854
22.12.03;676
23.12.03;577
24.12.03;1312
25.12.03;874
26.12.03;577
27.12.03;599
28.12.03;603
29.12.03;228
30.12.03;842
31.12.03;448
01.01.04;782
02.01.04;846
03.01.04;617
04.01.04;251
05.01.04;199
06.01.04;656
07.01.04;893
08.01.04;556
09.01.04;743
10.01.04;412
11.01.04;807
12.01.04;603
13.01.04;458
14.01.04;353
15.01.04;164
16.01.04;421
17.01.04;680
18.01.04;1025
19.01.04;331
20.01.04;181
21.01.04;728
22.01.04;916
23.01.04;1004
24.01.04;296
25.01.04;569
26.01.04;842
27.01.04;475
28.01.04;188
29.01.04;169
30.01.04;594
31.01.04;258
01.02.04;571
02.02.04;496
03.02.04;601
04.02.04;1072
05.02.04;849
06.02.04;601
07.02.04;469
08.02.04;778
09.02.04;895
10.02.04;472
11.02.04;757
12.02.04;1343
13.02.04;1000
14.02.04;652
15.02.04;400
16.02.04;387
17.02.04;677
18.02.04;489
19.02.04;1508
20.02.04;1274
21.02.04;1066
22.02.04;918
23.02.04;631
24.02.04;869
25.02.04;592
26.02.04;163
27.02.04;103
28.02.04;662
29.02.04;1277
01.03.04;858
02.03.04;643
03.03.04;619
04.03.04;558
05.03.04;775
06.03.04;647
07.03.04;491
08.03.04;717
09.03.04;578
10.03.04;347
11.03.04;750
12.03.04;447
13.03.04;458
14.03.04;425
15.03.04;696
16.03.04;668
17.03.04;941
18.03.04;1322
19.03.04;714
20.03.04;654
21.03.04;515
22.03.04;473
23.03.04;439
24.03.04;315
25.03.04;245
26.03.04;893
27.03.04;1161
28.03.04;612
29.03.04;871
30.03.04;885
31.03.04;266
01.04.04;244
02.04.04;685
03.04.04;727
04.04.04;430
05.04.04;456
06.04.04;92
07.04.04;55
08.04.04;819
09.04.04;1367
10.04.04;853
11.04.04;440
12.04.04;633
13.04.04;912
14.04.04;956
15.04.04;239
16.04.04;363
17.04.04;357
18.04.04;549
19.04.04;747
20.04.04;574
21.04.04;296
22.04.04;208
23.04.04;242
24.04.04;226
25.04.04;139
26.04.04;56
27.04.04;70
28.04.04;155
29.04.04;199
30.04.04;66
01.05.04;114
02.05.04;935
03.05.04;227
04.05.04;391
05.05.04;465
06.05.04;514
07.05.04;290
08.05.04;269
09.05.04;299
10.05.04;475
11.05.04;340
12.05.04;551
13.05.04;454
14.05.04;525
15.05.04;268
16.05.04;296
17.05.04;1269
18.05.04;1067
19.05.04;566
20.05.04;434
21.05.04;557
22.05.04;196
23.05.04;246
24.05.04;900
25.05.04;239
26.05.04;152
27.05.04;177
28.05.04;318
29.05.04;571
30.05.04;572
31.05.04;381
01.06.04;550
02.06.04;379
03.06.04;329
04.06.04;83
05.06.04;775
06.06.04;661
07.06.04;787
08.06.04;681
09.06.04;643
10.06.04;544
11.06.04;431
12.06.04;334
13.06.04;968
14.06.04;1340
15.06.04;895
16.06.04;600
