year;Canada;Mexico;US;Total North America;Argentina;Brazil;Chile;Colombia;Ecuador;Peru;Trinidad & Tobago;Venezuela;Central America;Other Caribbean;Other South America;Total S. & Cent. America;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Netherlands;North Macedonia;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;Turkey;Ukraine;United Kingdom;Other Europe;Total Europe;Azerbaijan;Belarus;Kazakhstan;Russian Federation;Turkmenistan;USSR;Uzbekistan;Other CIS;Total CIS;Iran;Iraq;Israel;Kuwait;Oman;Qatar;Saudi Arabia;United Arab Emirates;Other Middle East;Total Middle East;Algeria;Egypt;Morocco;South Africa;Eastern Africa;Middle Africa;Western Africa;Other Northern Africa;Other Southern Africa;Total Africa;Australia;Bangladesh;China;China Hong Kong SAR;India;Indonesia;Japan;Malaysia;New Zealand;Pakistan;Philippines;Singapore;South Korea;Sri Lanka;Taiwan;Thailand;Vietnam;Other Asia Pacific;Total Asia Pacific;Total World;OECD;Non-OECD;European Union
1965;260,3;62,1;3480,1;3802,6;77,3;51,5;16,7;21,3;2,1;12,5;7,7;43,7;12,3;48,8;7,2;301,2;39,5;124,7;36,7;n/a;1,2;156,2;47,7;n/a;24,7;329,4;910,4;22,5;59,5;1,5;20;204,9;n/a;n/a;13,4;113;n/a;17,7;253;10,5;68,1;31,1;n/a;80,4;68,8;29,2;25,1;n/a;688,1;50,4;3427,8;n/a;n/a;n/a;n/a;n/a;1919,1;n/a;n/a;1919,1;21,8;5,1;11,9;17,1;1,4;0,3;62,5;0,2;17,7;138;5,6;22,9;3,6;113,2;23,8;6,9;13,4;4,5;0,1;193,9;113,8;n/a;488,5;7,1;167,5;20,1;446,9;7;15;19,5;13,2;13,1;24,9;1,5;18,8;7,4;8,2;52,6;1425,2;11207,7;7703,2;3504,6;3304,5
1966;271,7;65,1;3675,5;4012,2;79,6;56,2;17,9;23,1;2,2;15,4;8;44;12,5;50,2;7,5;316,5;39,8;118,5;39,2;n/a;1,3;157;54,3;n/a;28,1;331;901;23,7;59,3;1,6;22,7;222,7;n/a;n/a;12,7;117,8;n/a;19,4;257,2;10,8;72,5;32,1;n/a;84,7;76,1;29,7;29;n/a;680,9;51,8;3474,9;n/a;n/a;n/a;n/a;n/a;2027,5;n/a;n/a;2027,5;24;5,7;12,4;17,9;1,5;0,3;63,3;0,2;18,4;143,7;6,9;24;5,3;113,5;25,9;7,1;14,3;4,9;0,3;202,2;125,1;n/a;530,3;7,7;170;19,5;492,8;8,2;15,8;19,3;14,4;15;29,6;1,5;20;8,7;13,9;56,3;1548,3;11725,3;8015,8;3709,5;3344,1
1967;285,5;66,6;3772,6;4124,8;81,8;58;18,3;24,4;2,3;15,5;8,5;46;13,1;52,3;8;328,2;40,1;123,4;45,2;n/a;1,5;153,8;54;n/a;28,9;355,9;892,4;26;55,3;1,5;24,7;246,2;n/a;n/a;12,4;122,8;n/a;20;263,5;11,6;80,7;32,2;n/a;95,5;75,2;31,3;29,1;n/a;670,1;50,5;3543,9;n/a;n/a;n/a;n/a;n/a;2120,8;n/a;n/a;2120,8;26,7;5,8;12,9;18,3;1,5;0,4;64,1;1,1;19,2;150,1;6,4;20,1;5,7;116,8;26,8;7,2;13,6;5,2;0,3;202,2;132,4;n/a;475,9;9,1;174,5;18,7;578,2;8,3;15,7;21,1;16,2;18;32,8;1,5;21,8;9,9;19;61,7;1614,7;12084,7;8281;3803,8;3412,1
1968;308,3;72,2;3994,2;4374,7;84,2;68,1;18,7;25,2;2,8;15,7;8,7;49;13,4;53,4;8,3;347,5;43;135,1;51;n/a;1,6;160,4;56,1;n/a;33,2;369,3;944,8;27,2;56,4;1,7;29,2;266,5;n/a;n/a;13,4;138,2;n/a;21,9;281,6;12;86;35,1;n/a;99,1;83,8;34,3;32,3;n/a;689,7;54,9;3757,7;n/a;n/a;n/a;n/a;n/a;2172,9;n/a;n/a;2172,9;29,7;6,2;13,5;19,2;1,6;1,3;65;1,5;20,3;158,3;6,8;21,1;6,1;123,1;28;7,5;12,8;6;0,3;211,6;139,7;n/a;476,7;9,8;182,5;19,6;641,6;8,4;15,7;23,8;18,4;22,4;36,3;1,6;23,9;13;19,8;67,2;1720,4;12743,1;8804,5;3938,6;3613,6
1969;320,4;79,1;4170,1;4569,7;86,9;74,3;19,9;25,3;2,9;15,7;9;49,1;14,2;56,5;8,9;362,7;46,1;144,4;55,7;n/a;1,9;167,2;63,9;n/a;38,9;404,4;1011,9;27,8;59,5;1,5;29,1;288,3;n/a;n/a;14,4;149,1;n/a;24;299;12,4;98,6;37;n/a;108,6;88,8;36,9;35,2;n/a;707,6;56,1;4008,3;n/a;n/a;n/a;n/a;n/a;2253,6;n/a;n/a;2253,6;32,8;7,2;14,1;19,7;1,7;2,1;65,9;1,5;21,2;166,1;7,6;15,9;6,5;126,3;28,7;7,8;14;6,6;0,4;213,7;144,3;n/a;582,5;11,5;197,5;21,3;731,5;8,7;16,2;23,2;19,7;22;42,5;1,6;25,2;14,1;23,3;71,9;1956,9;13530,9;9334,1;4196,8;3855,7
1970;344,9;84,2;4298,2;4727,3;80,5;83,9;20,9;27,7;3,5;16,4;9,7;49,4;14,7;70,3;9,1;386,1;50,7;149;62,4;n/a;2;172,5;67,5;n/a;43,2;433,7;1043,4;29,8;63;1,5;21,5;320,4;n/a;n/a;14,9;166,9;n/a;26,8;312,8;14,9;105;39,7;n/a;121,1;96,9;40,4;39,3;n/a;724,5;62,2;4226,1;n/a;n/a;n/a;n/a;n/a;2337,4;n/a;n/a;2337,4;38,4;9,2;14,7;16,2;1,7;2,4;67;2;21,3;172,9;8,3;20,2;6,9;131,6;30,8;7,9;15,5;7,8;0,4;229,3;155,3;n/a;748,5;12,3;189,9;22,6;810,5;9,6;18,2;22,7;22,4;23,9;49;3,1;27,6;16,3;24,3;77,4;2233,7;14312,9;9790,5;4522,4;4057
1971;351,6;89,5;4340,7;4781,8;85,3;92,2;22,4;26,2;3,8;16,4;9,9;49,5;15,4;71,5;9,8;402,4;53,3;142,1;64,6;n/a;2,4;181;63,2;n/a;43,3;453,6;1045,1;37,2;64,1;1,7;22,4;342,3;n/a;n/a;14,2;171,9;n/a;26,5;321,9;16,5;110,1;42,5;n/a;126,8;89,8;42,1;43,9;n/a;697,4;73,3;4293,2;n/a;n/a;n/a;n/a;n/a;2431,9;n/a;n/a;2431,9;41,6;10;15,3;16,2;4,3;2,3;67,1;3;22,7;182,6;8,9;20,5;7,3;142,2;35,5;9,3;21,1;7,1;0,5;252,3;161,2;2,2;881,7;13;206,6;23,5;845,3;10,8;18,1;20,9;26;20,7;52,6;2,9;33,9;17,9;21,8;85,1;2444,2;14788,4;9939,5;4848,8;4106,8
1972;368;99,7;4564,7;5032,3;86,7;103,5;22,4;29,3;3,8;14,2;14,3;52,3;16,8;76,5;11,4;431,5;54,5;149,3;66,6;n/a;2,7;180,7;66,6;n/a;44,8;477,8;1067,3;41,9;65,4;1,8;23,2;357,8;n/a;n/a;14,5;196,7;n/a;27,9;339,4;17,7;114,6;44,3;n/a;135,5;91,4;42,9;48,9;n/a;690,5;74;4439;n/a;n/a;n/a;n/a;n/a;2548,9;n/a;n/a;2548,9;46,8;12,1;15,9;18;4,9;2,6;71,9;3,3;22,6;198,1;10;23,1;7,9;145,7;35,7;9,6;22,5;8,9;0,5;264;168,2;3,3;945,4;14,7;218,6;25,4;880,9;12,2;19,4;17,6;25,5;25,9;54,6;3,1;35,3;22,3;21,1;88,2;2581,7;15495,5;10374,7;5120,7;4244,5
1973;386,7;107,7;4764,4;5258,8;89,8;123,6;21,6;28,6;4,3;16,6;14,2;59,7;17,7;82,8;11,6;470,5;57,9;147,1;68,6;n/a;2,9;180,6;65;n/a;50,5;518,8;1116,4;48,9;69,9;2;24,3;374,8;n/a;n/a;15,2;206,3;n/a;28;342,7;20,1;125,8;45,7;n/a;155,4;93,1;46,2;54,2;n/a;728,7;78,4;4667,7;n/a;n/a;n/a;n/a;n/a;2660,5;n/a;n/a;2660,5;57,3;11,7;17;18;4,3;3,7;76,5;4,3;25,3;218;11,6;21,6;9,3;156,6;38,1;10,7;24,6;12;0,5;284,9;178,6;3,8;987;15,3;219;29,7;995;13,3;20,9;18,6;29,6;24,2;67,7;3,2;41,5;23,6;22,7;90,9;2784,7;16345,1;10951,6;5393,5;4459,9
1974;393;120,9;4596,4;5110,2;91,8;133,4;20,7;32,3;4,8;19,6;13,3;60,8;17,8;82;10,5;487;55,2;141,4;69,9;n/a;2,4;181,4;59,2;n/a;46;500,5;1085,3;48,3;71,7;1,9;24,8;374,9;n/a;n/a;15,4;189,2;n/a;26,2;352,1;21;126;46,8;n/a;162;86;41,3;56,5;n/a;675,2;83,9;4544,4;n/a;n/a;n/a;n/a;n/a;2762,6;n/a;n/a;2762,6;64,1;11,4;17,2;17,2;3,9;3,2;80,9;4,8;27,6;230,3;13;24,7;9,8;161,8;37,3;11,2;25;13,1;0,5;296,4;189;4,1;1006,8;15,6;238,6;31,4;985,7;13,4;20,6;20;27,8;23,9;68,8;2,5;38,6;24,3;17,3;96,5;2824,8;16255,8;10674,6;5581,2;4335,7
