"Klimagasser, etter statistikkvariabel, tid, komponent og kilde"
"(aktivitet)"

" ";" ";"Klimagasser i alt";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"Alle kilder";"Olje- og gassutvinning";"Industri og bergverk";"Energiforsyning";"Oppvarming i andre næringer og husholdninger";"Veitrafikk";"Luftfart, sjøfart, fiske, motorredskaper m.m.";"Jordbruk";"Andre kilder"
" ";"1990";51729;8242;19610;417;2706;7771;5523;4778;2680
" ";"1991";49359;8124;18030;460;2372;7692;5314;4716;2651
" ";"1992";47548;8716;15698;445;2138;7858;5368;4702;2623
" ";"1993";49589;9231;16722;459;2111;8299;5450;4689;2628
" ";"1994";51484;10015;17583;507;2267;8077;5677;4693;2664
" ";"1995";51178;10174;16789;507;2284;8226;5878;4671;2650
" ";"1996";54191;11049;17503;596;2880;8476;6275;4758;2653
" ";"1997";54113;11539;17148;541;2399;8482;6586;4704;2715
" ";"1998";54277;11183;17597;576;2375;8717;6530;4700;2598
" ";"1999";55225;11663;17384;560;2500;8670;7187;4716;2544
" ";"2000";54638;13066;17205;515;1906;8489;6218;4570;2668
" ";"2001";55911;14092;16684;556;2156;8997;6227;4523;2676
" ";"2002";54833;13779;15704;605;2327;9076;6177;4510;2654
" ";"2003";55413;14055;15460;753;2699;9216;6056;4586;2587
" ";"2004";56016;14346;15732;648;2216;9519;6372;4557;2626
" ";"2005";55105;14264;15316;630;1937;9654;6192;4565;2546
" ";"2006";54883;13878;14823;669;2037;9947;6405;4480;2643
" ";"2007";56760;15365;14504;958;1869;10188;6750;4476;2651
" ";"2008";55251;15057;14042;809;1761;10052;6394;4460;2675
" ";"2009";52653;13946;11510;1832;1802;9889;6510;4450;2713
" ";"2010";55231;14147;12224;2469;2020;10117;6988;4378;2887
" ";"2011";54202;13811;12179;2293;1634;10081;6949;4348;2907
" ";"2012";53808;13897;11978;1769;1574;10119;7170;4371;2930
" ";"2013";53526;13885;12028;1765;1471;10138;6893;4419;2927
" ";"2014";53329;14743;11607;1725;1187;10269;6404;4480;2913
" ";"2015";53906;15108;11894;1715;1173;10302;6367;4527;2819
" ";"2016";53427;14866;11700;1677;1196;9928;6526;4576;2957
