,time,value
0,1995-01-01,225.0
5,1995-02-01,221.0
10,1995-03-01,230.0
15,1995-04-01,145.0
20,1995-05-01,176.0
25,1995-06-01,179.0
30,1995-07-01,140.0
35,1995-08-01,193.0
40,1995-09-01,160.0
45,1995-10-01,200.0
50,1995-11-01,189.0
55,1995-12-01,190.0
60,1996-01-01,244.0
65,1996-02-01,217.0
70,1996-03-01,234.0
75,1996-04-01,156.0
80,1996-05-01,201.0
85,1996-06-01,143.0
90,1996-07-01,111.0
95,1996-08-01,168.0
100,1996-09-01,181.0
105,1996-10-01,199.0
110,1996-11-01,172.0
115,1996-12-01,169.0
120,1997-01-01,193.0
125,1997-02-01,187.0
130,1997-03-01,148.0
135,1997-04-01,213.0
140,1997-05-01,154.0
145,1997-06-01,150.0
150,1997-07-01,154.0
155,1997-08-01,153.0
160,1997-09-01,220.0
165,1997-10-01,211.0
170,1997-11-01,153.0
175,1997-12-01,163.0
180,1998-01-01,213.0
185,1998-02-01,217.0
190,1998-03-01,213.0
195,1998-04-01,157.0
200,1998-05-01,149.0
205,1998-06-01,154.0
210,1998-07-01,122.0
215,1998-08-01,141.0
220,1998-09-01,135.0
225,1998-10-01,218.0
230,1998-11-01,189.0
235,1998-12-01,188.0
240,1999-01-01,156.0
245,1999-02-01,153.0
250,1999-03-01,212.0
255,1999-04-01,172.0
260,1999-05-01,149.0
265,1999-06-01,170.0
270,1999-07-01,115.0
275,1999-08-01,131.0
280,1999-09-01,156.0
285,1999-10-01,173.0
290,1999-11-01,163.0
295,1999-12-01,165.0
300,2000-01-01,151.0
305,2000-02-01,212.0
310,2000-03-01,192.0
315,2000-04-01,146.0
320,2000-05-01,188.0
325,2000-06-01,179.0
330,2000-07-01,125.0
335,2000-08-01,161.0
340,2000-09-01,154.0
345,2000-10-01,198.0
350,2000-11-01,192.0
355,2000-12-01,133.0
360,2001-01-01,176.0
365,2001-02-01,189.0
370,2001-03-01,206.0
375,2001-04-01,167.0
380,2001-05-01,179.0
385,2001-06-01,157.0
390,2001-07-01,147.0
395,2001-08-01,184.0
400,2001-09-01,172.0
405,2001-10-01,210.0
410,2001-11-01,219.0
415,2001-12-01,156.0
420,2002-01-01,215.0
425,2002-02-01,218.0
430,2002-03-01,195.0
435,2002-04-01,216.0
440,2002-05-01,204.0
445,2002-06-01,255.0
450,2002-07-01,213.0
455,2002-08-01,196.0
460,2002-09-01,241.0
465,2002-10-01,265.0
470,2002-11-01,259.0
475,2002-12-01,175.0
480,2003-01-01,194.0
485,2003-02-01,249.0
490,2003-03-01,321.0
495,2003-04-01,261.0
500,2003-05-01,257.0
505,2003-06-01,263.0
510,2003-07-01,237.0
515,2003-08-01,243.0
520,2003-09-01,287.0
525,2003-10-01,296.0
530,2003-11-01,231.0
535,2003-12-01,247.0
540,2004-01-01,275.0
545,2004-02-01,243.0
550,2004-03-01,255.0
555,2004-04-01,196.0
560,2004-05-01,177.0
565,2004-06-01,261.0
570,2004-07-01,195.0
575,2004-08-01,191.0
580,2004-09-01,213.0
585,2004-10-01,220.0
590,2004-11-01,247.0
595,2004-12-01,211.0
600,2005-01-01,210.0
605,2005-02-01,220.0
610,2005-03-01,212.0
615,2005-04-01,191.0
620,2005-05-01,180.0
625,2005-06-01,195.0
630,2005-07-01,136.0
635,2005-08-01,196.0
640,2005-09-01,182.0
645,2005-10-01,166.0
650,2005-11-01,147.0
655,2005-12-01,125.0
660,2006-01-01,164.0
665,2006-02-01,170.0
670,2006-03-01,171.0
675,2006-04-01,140.0
680,2006-05-01,155.0
685,2006-06-01,156.0
690,2006-07-01,141.0
695,2006-08-01,167.0
700,2006-09-01,171.0
705,2006-10-01,206.0
710,2006-11-01,187.0
715,2006-12-01,124.0
720,2007-01-01,163.0
725,2007-02-01,154.0
730,2007-03-01,226.0
735,2007-04-01,125.0
740,2007-05-01,162.0
745,2007-06-01,145.0
750,2007-07-01,98.0
755,2007-08-01,128.0
760,2007-09-01,159.0
765,2007-10-01,209.0
770,2007-11-01,150.0
775,2007-12-01,125.0
780,2008-01-01,214.0
785,2008-02-01,193.0
790,2008-03-01,140.0
795,2008-04-01,205.0
800,2008-05-01,192.0
805,2008-06-01,192.0
810,2008-07-01,186.0
815,2008-08-01,150.0
820,2008-09-01,246.0
825,2008-10-01,282.0
830,2008-11-01,264.0
835,2008-12-01,336.0
840,2009-01-01,301.0
845,2009-02-01,376.0
850,2009-03-01,416.0
855,2009-04-01,344.0
860,2009-05-01,326.0
865,2009-06-01,351.0
870,2009-07-01,249.0
875,2009-08-01,258.0
880,2009-09-01,311.0
885,2009-10-01,343.0
890,2009-11-01,278.0
895,2009-12-01,260.0
900,2010-01-01,252.0
905,2010-02-01,282.0
910,2010-03-01,331.0
915,2010-04-01,258.0
920,2010-05-01,271.0
925,2010-06-01,316.0
930,2010-07-01,186.0
935,2010-08-01,209.0
940,2010-09-01,307.0
945,2010-10-01,238.0
950,2010-11-01,269.0
955,2010-12-01,242.0
960,2011-01-01,273.0
965,2011-02-01,294.0
970,2011-03-01,304.0
975,2011-04-01,234.0
980,2011-05-01,278.0
985,2011-06-01,288.0
990,2011-07-01,178.0
995,2011-08-01,235.0
1000,2011-09-01,264.0
1005,2011-10-01,303.0
1010,2011-11-01,284.0
1015,2011-12-01,239.0
1020,2012-01-01,239.0
1025,2012-02-01,280.0
1030,2012-03-01,255.0
1035,2012-04-01,208.0
1040,2012-05-01,226.0
1045,2012-06-01,227.0
1050,2012-07-01,172.0
1055,2012-08-01,211.0
1060,2012-09-01,241.0
1065,2012-10-01,273.0
1070,2012-11-01,237.0
1075,2012-12-01,194.0
1080,2013-01-01,292.0
1085,2013-02-01,281.0
1090,2013-03-01,263.0
1095,2013-04-01,291.0
1100,2013-05-01,331.0
1105,2013-06-01,288.0
1110,2013-07-01,187.0
1115,2013-08-01,213.0
1120,2013-09-01,286.0
1125,2013-10-01,326.0
1130,2013-11-01,240.0
1135,2013-12-01,255.0
1140,2014-01-01,302.0
1145,2014-02-01,279.0
1150,2014-03-01,340.0
1155,2014-04-01,266.0
1160,2014-05-01,291.0
1165,2014-06-01,320.0
1170,2014-07-01,191.0
1175,2014-08-01,230.0
1180,2014-09-01,324.0
1185,2014-10-01,324.0
1190,2014-11-01,258.0
1195,2014-12-01,309.0
1200,2015-01-01,294.0
1205,2015-02-01,331.0
1210,2015-03-01,337.0
1215,2015-04-01,256.0
1220,2015-05-01,306.0
1225,2015-06-01,304.0
1230,2015-07-01,146.0
1235,2015-08-01,220.0
1240,2015-09-01,286.0
1245,2015-10-01,302.0
1250,2015-11-01,295.0
1255,2015-12-01,251.0
1260,2016-01-01,228.0
1265,2016-02-01,316.0
1270,2016-03-01,310.0
1275,2016-04-01,329.0
1280,2016-05-01,289.0
1285,2016-06-01,338.0
1290,2016-07-01,168.0
1295,2016-08-01,276.0
1300,2016-09-01,269.0
1305,2016-10-01,284.0
1310,2016-11-01,281.0
1315,2016-12-01,220.0
1320,2017-01-01,269.0
1325,2017-02-01,313.0
1330,2017-03-01,353.0
1335,2017-04-01,217.0
1340,2017-05-01,330.0
1345,2017-06-01,330.0
1350,2017-07-01,209.0
1355,2017-08-01,245.0
1360,2017-09-01,279.0
1365,2017-10-01,288.0
1370,2017-11-01,329.0
1375,2017-12-01,293.0
1380,2018-01-01,319.0
1385,2018-02-01,363.0
1390,2018-03-01,338.0
1395,2018-04-01,363.0
1400,2018-05-01,322.0
1405,2018-06-01,391.0
1410,2018-07-01,207.0
1415,2018-08-01,296.0
1420,2018-09-01,315.0
1425,2018-10-01,355.0
1430,2018-11-01,351.0
1435,2018-12-01,265.0
