,date,brent_price
0,1987-05-15,18.58
1,1987-06-15,18.86
2,1987-07-15,19.86
3,1987-08-15,18.98
4,1987-09-15,18.31
5,1987-10-15,18.76
6,1987-11-15,17.78
7,1987-12-15,17.05
8,1988-01-15,16.75
9,1988-02-15,15.73
10,1988-03-15,14.73
11,1988-04-15,16.6
12,1988-05-15,16.31
13,1988-06-15,15.54
14,1988-07-15,14.91
15,1988-08-15,14.89
16,1988-09-15,13.18
17,1988-10-15,12.41
18,1988-11-15,13.02
19,1988-12-15,15.31
20,1989-01-15,17.17
21,1989-02-15,16.89
22,1989-03-15,18.7
23,1989-04-15,20.32
24,1989-05-15,18.63
25,1989-06-15,17.67
26,1989-07-15,17.62
27,1989-08-15,16.77
28,1989-09-15,17.77
29,1989-10-15,18.91
30,1989-11-15,18.73
31,1989-12-15,19.84
32,1990-01-15,21.25
33,1990-02-15,19.81
34,1990-03-15,18.39
35,1990-04-15,16.61
36,1990-05-15,16.35
37,1990-06-15,15.1
38,1990-07-15,17.17
39,1990-08-15,27.17
40,1990-09-15,34.9
41,1990-10-15,36.02
42,1990-11-15,33.07
43,1990-12-15,28.27
44,1991-01-15,23.57
45,1991-02-15,19.54
46,1991-03-15,19.08
47,1991-04-15,19.18
48,1991-05-15,19.19
49,1991-06-15,18.17
50,1991-07-15,19.4
51,1991-08-15,19.77
52,1991-09-15,20.5
53,1991-10-15,22.21
54,1991-11-15,21.11
55,1991-12-15,18.41
56,1992-01-15,18.16
57,1992-02-15,18.05
58,1992-03-15,17.63
59,1992-04-15,18.92
60,1992-05-15,19.89
61,1992-06-15,21.16
62,1992-07-15,20.24
63,1992-08-15,19.74
64,1992-09-15,20.27
65,1992-10-15,20.26
66,1992-11-15,19.21
67,1992-12-15,18.14
68,1993-01-15,17.39
69,1993-02-15,18.47
70,1993-03-15,18.79
71,1993-04-15,18.67
72,1993-05-15,18.51
73,1993-06-15,17.65
74,1993-07-15,16.78
75,1993-08-15,16.7
76,1993-09-15,16.01
77,1993-10-15,16.61
78,1993-11-15,15.2
79,1993-12-15,13.73
80,1994-01-15,14.29
81,1994-02-15,13.8
82,1994-03-15,13.82
83,1994-04-15,15.23
84,1994-05-15,16.19
85,1994-06-15,16.76
86,1994-07-15,17.6
87,1994-08-15,16.89
88,1994-09-15,15.9
89,1994-10-15,16.49
90,1994-11-15,17.19
91,1994-12-15,15.93
92,1995-01-15,16.55
93,1995-02-15,17.11
94,1995-03-15,17.01
95,1995-04-15,18.65
96,1995-05-15,18.35
97,1995-06-15,17.31
98,1995-07-15,15.85
99,1995-08-15,16.1
100,1995-09-15,16.7
101,1995-10-15,16.11
102,1995-11-15,16.86
103,1995-12-15,17.93
104,1996-01-15,17.85
105,1996-02-15,18.0
106,1996-03-15,19.85
107,1996-04-15,20.9
108,1996-05-15,19.15
109,1996-06-15,18.46
110,1996-07-15,19.57
111,1996-08-15,20.51
112,1996-09-15,22.63
113,1996-10-15,24.16
114,1996-11-15,22.76
115,1996-12-15,23.78
116,1997-01-15,23.54
117,1997-02-15,20.85
118,1997-03-15,19.13
119,1997-04-15,17.56
120,1997-05-15,19.02
121,1997-06-15,17.58
122,1997-07-15,18.46
123,1997-08-15,18.6
124,1997-09-15,18.46
125,1997-10-15,19.87
126,1997-11-15,19.17
127,1997-12-15,17.18
128,1998-01-15,15.19
129,1998-02-15,14.07
130,1998-03-15,13.1
131,1998-04-15,13.53
132,1998-05-15,14.36
133,1998-06-15,12.21
134,1998-07-15,12.08
135,1998-08-15,11.91
136,1998-09-15,13.34
137,1998-10-15,12.7
138,1998-11-15,11.04
139,1998-12-15,9.82
140,1999-01-15,11.11
141,1999-02-15,10.27
142,1999-03-15,12.51
143,1999-04-15,15.29
144,1999-05-15,15.23
145,1999-06-15,15.86
146,1999-07-15,19.08
147,1999-08-15,20.22
148,1999-09-15,22.54
149,1999-10-15,22.0
150,1999-11-15,24.58
151,1999-12-15,25.47
152,2000-01-15,25.51
153,2000-02-15,27.78
154,2000-03-15,27.49
155,2000-04-15,22.76
156,2000-05-15,27.74
157,2000-06-15,29.8
158,2000-07-15,28.68
159,2000-08-15,30.2
160,2000-09-15,33.14
161,2000-10-15,30.96
162,2000-11-15,32.55
163,2000-12-15,25.66
164,2001-01-15,25.62
165,2001-02-15,27.5
166,2001-03-15,24.5
167,2001-04-15,25.66
168,2001-05-15,28.31
169,2001-06-15,27.85
170,2001-07-15,24.61
