date,DK1,DK2,EE,LV,LT,SE1,SE2,SE3,SE4,FI,DK,SE
2013-01-01,20882,11388,3633,,3377,,,,,,32270,
2013-01-02,26814,12516,1502,,2370,,,,,,39330,
2013-01-03,53823,19333,726,,2942,,,,,,73156,
2013-01-04,50590,15665,742,,2426,,,,,,66255,
2013-01-05,11754,1958,2058,,2098,,,,,,13712,
2013-01-06,15860,4432,714,,868,,,,,,20292,
2013-01-07,3594,1843,284,,164,,,,,,5437,
2013-01-08,3522,2696,2314,,957,,,,,,6218,
2013-01-09,14771,7133,1463,,1082,,,,,,21904,
2013-01-10,29442,10978,2241,,1202,,,,,,40420,
2013-01-11,12976,4906,3560,,1386,,,,,,17882,
2013-01-12,5590,2591,646,,1557,,,,,,8181,
2013-01-13,5613,3722,402,,78,,,,,,9335,
2013-01-14,12243,6751,1456,,69,,,,,,18994,
2013-01-15,5381,1176,438,,291,,,,,,6557,
2013-01-16,1665,1858,339,,1113,,,,,,3523,
2013-01-17,5704,3734,1684,,1554,,,,,,9438,
2013-01-18,20175,8912,1376,,472,,,,,,29087,
2013-01-19,26169,6745,167,,467,,,,,,32914,
2013-01-20,24170,6784,455,,730,,,,,,30954,
2013-01-21,48740,16761,907,,992,,,,,,65501,
2013-01-22,28988,12705,1648,,1166,,,,,,41693,
2013-01-23,5592,5890,556,,300,,,,,,11482,
2013-01-24,1694,2556,914,,162,,,,,,4250,
2013-01-25,13952,1518,1519,,408,,,,,,15470,
2013-01-26,33208,15130,3060,,2010,,,,,,48338,
2013-01-27,39515,13714,3413,,2462,,,,,,53229,
2013-01-28,39954,12998,3116,,1485,,,,,,52952,
2013-01-29,40227,14306,2200,,768,,,,,,54533,
2013-01-30,53919,15506,3742,,2789,,,,,,69425,
2013-01-31,41325,16301,1172,,4779,,,,,,57626,
2013-02-01,9254,5969,936,,695,,,,,,15223,
2013-02-02,12805,4738,432,,346,,,,,,17543,
2013-02-03,23569,7957,65,,473,,,,,,31526,
2013-02-04,45935,16172,1359,,1893,,,,,,62107,
2013-02-05,22550,12679,1979,,3590,,,,,,35229,
2013-02-06,12415,7546,1459,,2372,,,,,,19961,
2013-02-07,10716,2425,494,,563,,,,,,13141,
2013-02-08,12843,2769,1561,,778,,,,,,15612,
2013-02-09,7035,2132,393,,343,,,,,,9167,
2013-02-10,8236,1435,305,,552,,,,,,9671,
2013-02-11,21115,7127,645,,493,,,,,,28242,
2013-02-12,12660,5618,690,,669,,,,,,18278,
2013-02-13,2687,377,342,,1429,,,,,,3064,
2013-02-14,30265,3647,264,,504,,,,,,33912,
2013-02-15,11858,4321,28,,362,,,,,,16179,
2013-02-16,1773,536,15,,75,,,,,,2309,
2013-02-17,2664,244,367,,218,,,,,,2908,
2013-02-18,23569,6711,552,,1316,,,,,,30280,
2013-02-19,31179,13472,2257,,1589,,,,,,44651,
2013-02-20,19832,12628,2166,,2999,,,,,,32460,
2013-02-21,6612,6441,228,,954,,,,,,13053,
2013-02-22,3159,2697,601,,223,,,,,,5856,
2013-02-23,18659,13282,143,,2480,,,,,,31941,
2013-02-24,34177,15669,225,,2719,,,,,,49846,
2013-02-25,21452,12896,176,,1219,,,,,,34348,
2013-02-26,3536,2712,1744,,163,,,,,,6248,
2013-02-27,3085,521,1383,,351,,,,,,3606,
2013-02-28,29913,8119,2629,,2958,,,,,,38032,
2013-03-01,13550,6160,3207,,3302,,,,,,19710,
2013-03-02,42489,13368,1773,,2726,,,,,,55857,
2013-03-03,23844,6518,2672,,4458,,,,,,30362,
2013-03-04,7156,760,1328,,1174,,,,,,7916,
2013-03-05,9410,3049,1044,,1459,,,,,,12459,
2013-03-06,9835,1741,3208,,1293,,,,,,11576,
2013-03-07,53947,22205,3024,,1327,,,,,,76152,
2013-03-08,59650,22634,1299,,1675,,,,,,82284,
2013-03-09,56555,21322,1118,,2713,,,,,,77877,
2013-03-10,59123,22567,357,,3617,,,,,,81690,
2013-03-11,25338,14416,1492,,2098,,,,,,39754,
2013-03-12,9309,1252,852,,589,,,,,,10561,
2013-03-13,9496,2797,1284,,42,,,,,,12293,
2013-03-14,4921,1405,324,,113,,,,,,6326,
2013-03-15,19601,415,733,,2497,,,,,,20016,
2013-03-16,42873,14851,1109,,1794,,,,,,57724,
2013-03-17,60805,21840,741,,315,,,,,,82645,
2013-03-18,67604,23604,1738,,1769,,,,,,91208,
2013-03-19,44524,17293,2814,,4208,,,,,,61817,
2013-03-20,29019,10484,3719,,1938,,,,,,39503,
2013-03-21,21475,6928,2319,,1361,,,,,,28403,
2013-03-22,36141,14362,1296,,2654,,,,,,50503,
2013-03-23,38757,13358,458,,691,,,,,,52115,
2013-03-24,25500,8357,669,,934,,,,,,33857,
2013-03-25,24064,10064,521,,767,,,,,,34128,
2013-03-26,13719,8430,474,,473,,,,,,22149,
2013-03-27,10478,7344,347,,779,,,,,,17822,
2013-03-28,16923,10416,1048,,1438,,,,,,27339,
2013-03-29,15099,4936,680,,3323,,,,,,20035,
2013-03-30,10628,1304,1145,,559,,,,,,11932,
2013-03-31,4711,1307,175,,419,,,,,,6018,
2013-04-01,4965,2115,1634,,2130,,,,,,7080,
2013-04-02,5202,527,1164,,547,,,,,,5729,
2013-04-03,7360,4307,233,,758,,,,,,11667,
2013-04-04,8084,6902,472,,1349,,,,,,14986,
2013-04-05,12323,5734,1628,,1057,,,,,,18057,
2013-04-06,13291,1564,1066,,787,,,,,,14855,
2013-04-07,19972,8670,1019,,1293,,,,,,28642,
2013-04-08,3691,1450,100,,1179,,,,,,5141,
2013-04-09,32880,15562,29,,478,,,,,,48442,
2013-04-10,35479,15274,532,,1063,,,,,,50753,
2013-04-11,20035,8866,564,,465,,,,,,28901,
2013-04-12,6081,2812,973,,2048,,,,,,8893,
2013-04-13,4467,1529,2857,,1124,,,,,,5996,
2013-04-14,31569,5386,565,,618,,,,,,36955,
2013-04-15,23587,8959,2169,,1269,,,,,,32546,
2013-04-16,26577,2935,2688,,2607,,,,,,29512,
2013-04-17,28391,5148,3152,,1511,,,,,,33539,
2013-04-18,59348,16513,3167,,2484,,,,,,75861,
2013-04-19,56390,14647,4000,,3020,,,,,,71037,
2013-04-20,13328,2426,2790,,1987,,,,,,15754,
2013-04-21,10037,3546,588,,592,,,,,,13583,
2013-04-22,20368,2003,977,,1547,,,,,,22371,
2013-04-23,48575,17185,3692,,2557,,,,,,65760,
2013-04-24,36870,11963,3524,,4266,,,,,,48833,
2013-04-25,11081,3853,2398,,2019,,,,,,14934,
2013-04-26,9442,3812,1113,,1095,,,,,,13254,
2013-04-27,10095,3023,250,,847,,,,,,13118,
2013-04-28,24074,2474,182,,118,,,,,,26548,
2013-04-29,53897,13428,2278,,1180,,,,,,67325,
2013-04-30,44026,12548,3383,,3223,,,,,,56574,
2013-05-01,7106,991,1400,,443,,,,,,8097,
2013-05-02,9098,1296,2477,,489,,,,,,10394,
2013-05-03,10828,1420,422,,913,,,,,,12248,
2013-05-04,32339,6018,673,,216,,,,,,38357,
2013-05-05,12889,2381,2840,,1315,,,,,,15270,
2013-05-06,2910,912,698,,132,,,,,,3822,
2013-05-07,5838,4719,1161,,354,,,,,,10557,
2013-05-08,19380,4881,450,,1650,,,,,,24261,
2013-05-09,14586,1988,1689,,1504,,,,,,16574,
2013-05-10,37908,3988,316,,241,,,,,,41896,
2013-05-11,19035,3719,279,,315,,,,,,22754,
2013-05-12,14043,3145,89,,310,,,,,,17188,
2013-05-13,26001,7508,172,,443,,,,,,33509,
2013-05-14,13844,4685,471,,497,,,,,,18529,
2013-05-15,30686,12055,174,,762,,,,,,42741,
2013-05-16,14568,8012,1054,,1425,,,,,,22580,
2013-05-17,27846,11375,1399,,979,,,,,,39221,
2013-05-18,20469,7485,807,,931,,,,,,27954,
2013-05-19,7740,1479,511,,643,,,,,,9219,
2013-05-20,2455,481,1167,,743,,,,,,2936,
2013-05-21,8832,3132,1516,,630,,,,,,11964,
2013-05-22,51958,9599,730,,382,,,,,,61557,
2013-05-23,30419,8020,222,,711,,,,,,38439,
2013-05-24,9715,2661,822,,552,,,,,,12376,
2013-05-25,16051,3986,2787,,1470,,,,,,20037,
2013-05-26,30113,6304,1634,,892,,,,,,36417,
2013-05-27,9653,1896,878,,1437,,,,,,11549,
2013-05-28,6447,3882,2020,,1587,,,,,,10329,
2013-05-29,27025,10061,1231,,570,,,,,,37086,
2013-05-30,12745,4180,326,,834,,,,,,16925,
2013-05-31,14897,4498,675,,1970,,,,,,19395,
2013-06-01,21455,3165,1058,,1673,,,,,,24620,
2013-06-02,55948,13620,856,,490,,,,,,69568,
2013-06-03,37636,10974,369,49.0,744,,,,,,48610,
2013-06-04,13945,5606,271,240.0,574,,,,,,19551,
2013-06-05,6639,1706,221,157.0,583,,,,,,8345,
2013-06-06,4037,1145,411,31.0,301,,,,,,5182,
2013-06-07,7022,342,285,31.0,319,,,,,,7364,
2013-06-08,19673,2214,301,77.0,253,,,,,,21887,
2013-06-09,12364,1531,189,155.0,231,,,,,,13895,
