Bergen,DK1,DK2,EE,ELE,FI,FRE,Krsand,LT,LV,Molde,Oslo,SE1,SE2,SE3,SE4,SYS,Tr.heim,Tromsoe,date
3288,2622,2625,3154,3154.0,3044,,3288,2627,,3272,3288,3044,3044,3044,3044,3173,3272,3272,2013-01-01
3699,3317,3317,4000,4000.0,3709,,3634,3413,,3685,3699,3685,3685,3685,3685,3668,3685,3685,2013-01-02
3551,3093,3128,4090,4090.0,3503,,3542,4576,,3500,3551,3499,3499,3499,3499,3510,3500,3500,2013-01-03
3540,3020,3020,4108,4108.0,3453,,3538,4090,,3447,3540,3430,3430,3430,3430,3481,3447,3447,2013-01-04
3528,3536,3549,3760,3760.0,3545,,3528,3912,,3545,3547,3545,3545,3545,3588,3538,3545,3545,2013-01-05
3476,3468,3497,3717,3717.0,3484,,3476,3629,,3484,3484,3484,3484,3484,3494,3483,3484,3484,2013-01-06
3728,4910,4926,3996,3996.0,3934,,3665,4367,,3872,3838,3872,3872,3872,4267,3852,3872,3872,2013-01-07
4009,4639,4639,3717,3717.0,4009,,3772,4345,,4009,4009,4009,4009,4009,4482,4051,4009,4009,2013-01-08
3977,3976,3976,3992,3992.0,3976,,3802,3858,,3976,3977,3976,3976,3976,3976,3926,3976,3976,2013-01-09
4144,4106,4122,4055,4055.0,4109,,3856,3771,,4109,4144,4109,4109,4109,4109,4059,4109,4109,2013-01-10
4317,4302,4302,4330,4330.0,4393,,3887,3800,,4249,4317,4249,4249,4302,4302,4182,4249,4249,2013-01-11
4081,4160,4160,4089,4089.0,4089,,3895,3949,,4077,4081,4077,4077,4080,4120,4040,4077,3959,2013-01-12
3959,3952,3952,4003,4003.0,3950,,3890,4547,,3945,3959,3945,3945,3952,3952,3936,3945,3903,2013-01-13
5165,5131,5131,4559,4559.0,4654,,3955,4737,,4658,5165,4658,4658,5120,5120,4629,4658,4658,2013-01-14
5055,5044,5044,4954,4954.0,5044,,4008,4632,,5044,5055,5044,5044,5044,5044,4784,5044,5044,2013-01-15
5192,5190,5190,4983,4983.0,5132,,4873,5047,,5132,5192,5132,5132,5183,5190,5111,5132,5089,2013-01-16
5356,5356,5356,4918,4919.0,5356,,5247,4879,,5356,5356,5356,5356,5356,5356,5344,5356,5356,2013-01-17
4793,4791,4791,4614,4614.0,4803,,4627,5157,,4791,4793,4791,4791,4791,4791,4778,4791,4740,2013-01-18
4053,3860,3860,4016,4016.0,4016,,4042,4970,,4001,4053,4001,4001,4001,4001,4016,4001,3957,2013-01-19
3882,3648,3661,3977,3977.0,3834,,3868,4358,,3833,3882,3833,3833,3833,3833,3841,3833,3833,2013-01-20
4188,3723,3882,4107,4262.0,4146,,4020,4704,,4146,4188,4146,4146,4146,4146,4123,4146,4133,2013-01-21
4894,4775,4784,4538,4623.0,4642,,4862,4469,,4652,4894,4652,4652,4873,4873,4695,4652,4652,2013-01-22
