Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2008-04-04,24.35,24.64,24.35,24.61,-0.18,,45.0,17022.0,205.0,0.0,0.0
2008-04-07,25.09,25.2,25.09,25.15,0.54,,27.0,16912.0,70.0,0.0,0.0
2008-04-08,25.25,25.25,24.85,24.87,-0.28,,33.0,16929.0,270.0,0.0,0.0
2008-04-09,25.05,25.05,25.04,25.05,0.18,,20.0,16794.0,0.0,0.0,0.0
2008-04-10,25.15,25.68,25.15,25.78,0.73,,61.0,16814.0,185.0,0.0,0.0
2008-04-11,25.7,25.7,25.7,25.7,-0.08,,0.0,16908.0,190.0,0.0,0.0
2008-04-14,26.34,26.34,26.34,26.34,0.64,,30.0,17068.0,420.0,0.0,0.0
2008-04-15,26.45,26.45,26.45,26.47,0.13,,20.0,17080.0,233.0,0.0,0.0
2008-04-16,26.2,26.3,26.08,26.15,-0.32,,160.0,17157.0,610.0,0.0,0.0
2008-04-17,26.06,26.08,26.03,26.07,-0.08,,41.0,17204.0,625.0,0.0,0.0
2008-04-18,25.77,25.82,25.77,25.87,-0.2,,10.0,17104.0,1179.0,0.0,0.0
2008-04-21,26.68,26.75,26.56,26.7,0.83,,41.0,17557.0,155.0,0.0,0.0
2008-04-22,26.75,26.76,26.75,26.76,0.06,,28.0,17623.0,188.0,0.0,0.0
2008-04-23,26.3,26.39,26.3,26.38,-0.38,,35.0,17635.0,60.0,0.0,0.0
2008-04-24,26.35,26.35,25.87,25.87,-0.51,,52.0,17640.0,95.0,0.0,0.0
2008-04-25,25.8,26.14,25.68,26.13,0.26,,76.0,17720.0,503.0,0.0,0.0
2008-04-28,26.14,26.14,25.99,26.01,-0.12,,61.0,17771.0,25.0,0.0,0.0
2008-04-29,25.58,25.58,25.29,25.58,-0.43,,175.0,17847.0,65.0,0.0,0.0
2008-04-30,25.31,25.32,25.29,25.31,-0.27,,77.0,17962.0,150.0,0.0,0.0
2008-05-01,25.23,25.23,25.23,24.95,-0.36,,25.0,17969.0,60.0,0.0,0.0
2008-05-02,25.81,25.81,25.81,25.81,0.86,,,17954.0,,,
2008-05-06,26.69,26.69,26.69,26.69,,,0.0,17954.0,15.0,0.0,0.0
