,currency,sector,credit_source,time,variable,value
8952,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1987-12-01,Innenlandsk lσnegjeld,276.218
8953,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-01-01,Innenlandsk lσnegjeld,277.234
8954,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-02-01,Innenlandsk lσnegjeld,277.548
8955,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-03-01,Innenlandsk lσnegjeld,283.004
8956,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-04-01,Innenlandsk lσnegjeld,283.116
8957,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-05-01,Innenlandsk lσnegjeld,283.975
8958,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-06-01,Innenlandsk lσnegjeld,290.753
8959,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-07-01,Innenlandsk lσnegjeld,294.423
8960,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-08-01,Innenlandsk lσnegjeld,292.449
8961,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-09-01,Innenlandsk lσnegjeld,297.091
8962,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-10-01,Innenlandsk lσnegjeld,296.664
8963,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-11-01,Innenlandsk lσnegjeld,296.561
8964,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1988-12-01,Innenlandsk lσnegjeld,295.954
8965,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-01-01,Innenlandsk lσnegjeld,296.439
8966,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-02-01,Innenlandsk lσnegjeld,300.169
8967,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-03-01,Innenlandsk lσnegjeld,307.686
8968,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-04-01,Innenlandsk lσnegjeld,308.46
8969,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-05-01,Innenlandsk lσnegjeld,311.589
8970,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-06-01,Innenlandsk lσnegjeld,317.467
8971,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-07-01,Innenlandsk lσnegjeld,313.652
8972,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-08-01,Innenlandsk lσnegjeld,318.381
8973,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-09-01,Innenlandsk lσnegjeld,320.477
8974,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-10-01,Innenlandsk lσnegjeld,321.846
8975,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-11-01,Innenlandsk lσnegjeld,325.265
8976,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1989-12-01,Innenlandsk lσnegjeld,354.346
8977,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-01-01,Innenlandsk lσnegjeld,356.766
8978,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-02-01,Innenlandsk lσnegjeld,358.406
8979,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-03-01,Innenlandsk lσnegjeld,364.551
8980,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-04-01,Innenlandsk lσnegjeld,366.185
8981,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-05-01,Innenlandsk lσnegjeld,370.327
8982,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-06-01,Innenlandsk lσnegjeld,370.883
8983,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-07-01,Innenlandsk lσnegjeld,371.056
8984,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-08-01,Innenlandsk lσnegjeld,366.799
8985,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-09-01,Innenlandsk lσnegjeld,370.049
8986,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-10-01,Innenlandsk lσnegjeld,368.349
8987,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-11-01,Innenlandsk lσnegjeld,367.796
8988,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1990-12-01,Innenlandsk lσnegjeld,356.082
8989,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-01-01,Innenlandsk lσnegjeld,358.033
8990,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-02-01,Innenlandsk lσnegjeld,360.913
8991,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-03-01,Innenlandsk lσnegjeld,365.537
8992,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-04-01,Innenlandsk lσnegjeld,367.091
8993,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-05-01,Innenlandsk lσnegjeld,365.094
8994,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-06-01,Innenlandsk lσnegjeld,366.625
8995,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-07-01,Innenlandsk lσnegjeld,361.297
8996,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-08-01,Innenlandsk lσnegjeld,359.164
8997,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-09-01,Innenlandsk lσnegjeld,356.598
8998,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-10-01,Innenlandsk lσnegjeld,357.185
8999,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-11-01,Innenlandsk lσnegjeld,352.586
9000,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1991-12-01,Innenlandsk lσnegjeld,338.478
9001,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-01-01,Innenlandsk lσnegjeld,337.755
9002,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-02-01,Innenlandsk lσnegjeld,340.92
9003,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-03-01,Innenlandsk lσnegjeld,341.279
9004,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-04-01,Innenlandsk lσnegjeld,336.378
9005,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-05-01,Innenlandsk lσnegjeld,332.825
9006,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-06-01,Innenlandsk lσnegjeld,331.504
9007,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-07-01,Innenlandsk lσnegjeld,324.856
9008,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-08-01,Innenlandsk lσnegjeld,325.167
9009,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-09-01,Innenlandsk lσnegjeld,325.401
9010,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-10-01,Innenlandsk lσnegjeld,320.949
9011,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-11-01,Innenlandsk lσnegjeld,324.365
9012,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1992-12-01,Innenlandsk lσnegjeld,322.822
9013,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-01-01,Innenlandsk lσnegjeld,321.026
9014,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-02-01,Innenlandsk lσnegjeld,322.172
9015,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-03-01,Innenlandsk lσnegjeld,319.992
9016,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-04-01,Innenlandsk lσnegjeld,321.821
9017,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-05-01,Innenlandsk lσnegjeld,326.22
9018,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-06-01,Innenlandsk lσnegjeld,328.87
9019,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-07-01,Innenlandsk lσnegjeld,325.44
9020,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-08-01,Innenlandsk lσnegjeld,321.108
9021,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-09-01,Innenlandsk lσnegjeld,319.16
9022,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-10-01,Innenlandsk lσnegjeld,319.988
9023,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-11-01,Innenlandsk lσnegjeld,316.646
9024,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-12-01,Innenlandsk lσnegjeld,311.204
9025,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-01-01,Innenlandsk lσnegjeld,313.979
9026,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-02-01,Innenlandsk lσnegjeld,312.997
9027,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-03-01,Innenlandsk lσnegjeld,313.575
9028,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-04-01,Innenlandsk lσnegjeld,314.204
9029,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-05-01,Innenlandsk lσnegjeld,314.458
9030,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-06-01,Innenlandsk lσnegjeld,283.791
9031,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-07-01,Innenlandsk lσnegjeld,278.704
9032,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-08-01,Innenlandsk lσnegjeld,275.742
9033,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-09-01,Innenlandsk lσnegjeld,276.843
