,currency,sector,credit_source,time,variable,value
15990,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1987-12-01,Innenlandsk lσnegjeld,246.149
15991,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-01-01,Innenlandsk lσnegjeld,245.839
15992,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-02-01,Innenlandsk lσnegjeld,248.71
15993,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-03-01,Innenlandsk lσnegjeld,250.317
15994,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-04-01,Innenlandsk lσnegjeld,250.904
15995,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-05-01,Innenlandsk lσnegjeld,252.454
15996,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-06-01,Innenlandsk lσnegjeld,256.915
15997,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-07-01,Innenlandsk lσnegjeld,246.477
15998,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-08-01,Innenlandsk lσnegjeld,244.766
15999,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-09-01,Innenlandsk lσnegjeld,245.798
16000,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-10-01,Innenlandsk lσnegjeld,245.109
16001,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-11-01,Innenlandsk lσnegjeld,245.581
16002,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1988-12-01,Innenlandsk lσnegjeld,256.266
16003,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-01-01,Innenlandsk lσnegjeld,253.959
16004,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-02-01,Innenlandsk lσnegjeld,251.971
16005,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-03-01,Innenlandsk lσnegjeld,251.671
16006,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-04-01,Innenlandsk lσnegjeld,251.837
16007,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-05-01,Innenlandsk lσnegjeld,253.276
16008,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-06-01,Innenlandsk lσnegjeld,256.527
16009,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-07-01,Innenlandsk lσnegjeld,256.891
16010,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-08-01,Innenlandsk lσnegjeld,257.078
16011,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-09-01,Innenlandsk lσnegjeld,258.989
16012,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-10-01,Innenlandsk lσnegjeld,261.985
16013,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-11-01,Innenlandsk lσnegjeld,263.286
16014,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1989-12-01,Innenlandsk lσnegjeld,276.212
16015,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-01-01,Innenlandsk lσnegjeld,273.562
16016,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-02-01,Innenlandsk lσnegjeld,274.408
16017,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-03-01,Innenlandsk lσnegjeld,277.614
16018,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-04-01,Innenlandsk lσnegjeld,276.142
16019,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-05-01,Innenlandsk lσnegjeld,278.122
16020,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-06-01,Innenlandsk lσnegjeld,282.148
16021,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-07-01,Innenlandsk lσnegjeld,280.549
16022,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-08-01,Innenlandsk lσnegjeld,281.993
16023,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-09-01,Innenlandsk lσnegjeld,280.589
16024,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-10-01,Innenlandsk lσnegjeld,278.016
16025,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-11-01,Innenlandsk lσnegjeld,279.333
16026,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1990-12-01,Innenlandsk lσnegjeld,290.221
16027,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1991-01-01,Innenlandsk lσnegjeld,287.823
16028,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1991-02-01,Innenlandsk lσnegjeld,283.372
16029,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1991-03-01,Innenlandsk lσnegjeld,284.667
16030,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1991-04-01,Innenlandsk lσnegjeld,282.235
16031,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1991-05-01,Innenlandsk lσnegjeld,280.378
16032,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1991-06-01,Innenlandsk lσnegjeld,283.557
16033,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1991-07-01,Innenlandsk lσnegjeld,281.309
16034,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1991-08-01,Innenlandsk lσnegjeld,279.109
