,date,"% change, mom","% change, yoy",cost index
0,1978-01-01,,,35.6
1,1978-02-01,0.3,,35.7
2,1978-03-01,0.3,,35.8
3,1978-04-01,0.6,,36.0
4,1978-05-01,0.0,,36.0
5,1978-06-01,0.0,,36.0
6,1978-07-01,0.3,,36.1
7,1978-08-01,0.0,,36.1
8,1978-09-01,0.3,,36.2
9,1978-10-01,0.3,,36.3
10,1978-11-01,0.0,,36.3
11,1978-12-01,0.0,,36.3
12,1979-01-01,0.3,2.2,36.4
13,1979-02-01,0.3,2.2,36.5
14,1979-03-01,0.3,2.2,36.6
15,1979-04-01,0.0,1.7,36.6
16,1979-05-01,0.3,1.9,36.7
17,1979-06-01,0.3,2.2,36.8
18,1979-07-01,0.3,2.2,36.9
19,1979-08-01,0.0,2.2,36.9
20,1979-09-01,0.5,2.5,37.1
21,1979-10-01,1.1,3.3,37.5
22,1979-11-01,0.5,3.9,37.7
23,1979-12-01,0.3,4.1,37.8
24,1980-01-01,0.5,4.4,38.0
25,1980-02-01,0.8,4.9,38.3
26,1980-03-01,1.0,5.7,38.7
27,1980-04-01,1.6,7.4,39.3
28,1980-05-01,1.5,8.7,39.9
29,1980-06-01,1.5,10.1,40.5
30,1980-07-01,0.5,10.3,40.7
31,1980-08-01,1.2,11.7,41.2
32,1980-09-01,0.2,11.3,41.3
33,1980-10-01,1.0,11.2,41.7
34,1980-11-01,0.7,11.4,42.0
35,1980-12-01,0.0,11.1,42.0
36,1981-01-01,0.7,11.3,42.3
37,1981-02-01,0.9,11.5,42.7
38,1981-03-01,0.5,10.9,42.9
39,1981-04-01,1.9,11.2,43.7
40,1981-05-01,0.5,10.0,43.9
41,1981-06-01,0.7,9.1,44.2
42,1981-07-01,0.7,9.3,44.5
43,1981-08-01,0.7,8.7,44.8
44,1981-09-01,0.2,8.7,44.9
45,1981-10-01,0.2,7.9,45.0
46,1981-11-01,0.9,8.1,45.4
47,1981-12-01,0.2,8.3,45.5
48,1982-01-01,1.1,8.7,46.0
49,1982-02-01,1.1,8.9,46.5
50,1982-03-01,0.4,8.9,46.7
51,1982-04-01,1.9,8.9,47.6
52,1982-05-01,0.4,8.9,47.8
53,1982-06-01,0.2,8.4,47.9
54,1982-07-01,0.4,8.1,48.1
55,1982-08-01,0.2,7.6,48.2
56,1982-09-01,0.6,8.0,48.5
57,1982-10-01,0.6,8.4,48.8
58,1982-11-01,0.4,7.9,49.0
59,1982-12-01,0.4,8.1,49.2
60,1983-01-01,0.8,7.8,49.6
61,1983-02-01,0.4,7.1,49.8
62,1983-03-01,0.2,6.9,49.9
63,1983-04-01,0.6,5.5,50.2
64,1983-05-01,0.2,5.2,50.3
65,1983-06-01,0.4,5.4,50.5
66,1983-07-01,0.4,5.4,50.7
67,1983-08-01,1.0,6.2,51.2
68,1983-09-01,0.2,5.8,51.3
69,1983-10-01,0.2,5.3,51.4
70,1983-11-01,0.6,5.5,51.7
71,1983-12-01,0.2,5.3,51.8
72,1984-01-01,0.6,5.0,52.1
73,1984-02-01,0.2,4.8,52.2
74,1984-03-01,0.2,4.8,52.3
75,1984-04-01,1.1,5.4,52.9
76,1984-05-01,0.2,5.4,53.0
77,1984-06-01,0.4,5.3,53.2
78,1984-07-01,0.2,5.1,53.3
79,1984-08-01,0.4,4.5,53.5
80,1984-09-01,0.4,4.7,53.7
81,1984-10-01,0.2,4.7,53.8
82,1984-11-01,0.4,4.4,54.0
83,1984-12-01,0.2,4.4,54.1
84,1985-01-01,0.6,4.4,54.4
85,1985-02-01,0.6,4.8,54.7
86,1985-03-01,0.2,4.8,54.8
87,1985-04-01,0.5,4.2,55.1
88,1985-05-01,0.5,4.5,55.4
89,1985-06-01,0.4,4.5,55.6
90,1985-07-01,0.5,4.9,55.9
91,1985-08-01,0.4,4.9,56.1
92,1985-09-01,0.5,5.0,56.4
93,1985-10-01,0.5,5.4,56.7
94,1985-11-01,0.2,5.2,56.8
95,1985-12-01,0.0,5.0,56.8
96,1986-01-01,0.9,5.3,57.3
97,1986-02-01,0.5,5.3,57.6
98,1986-03-01,0.5,5.7,57.9
99,1986-04-01,1.2,6.4,58.6
100,1986-05-01,0.7,6.5,59.0
101,1986-06-01,1.4,7.6,59.8
102,1986-07-01,1.0,8.1,60.4
103,1986-08-01,0.5,8.2,60.7
104,1986-09-01,0.3,8.0,60.9
105,1986-10-01,0.8,8.3,61.4
106,1986-11-01,0.3,8.5,61.6
107,1986-12-01,0.6,9.2,62.0
108,1987-01-01,3.9,12.4,64.4
109,1987-02-01,0.9,12.8,65.0
110,1987-03-01,0.5,12.8,65.3
111,1987-04-01,0.6,12.1,65.7
112,1987-05-01,0.5,11.9,66.0
113,1987-06-01,0.3,10.7,66.2
114,1987-07-01,0.5,10.1,66.5
115,1987-08-01,0.8,10.4,67.0
116,1987-09-01,0.9,11.0,67.6
117,1987-10-01,0.7,10.9,68.1
118,1987-11-01,0.4,11.0,68.4
119,1987-12-01,0.9,11.3,69.0
120,1988-01-01,1.2,8.4,69.8
121,1988-02-01,1.4,8.9,70.8
122,1988-03-01,0.8,9.3,71.4
123,1988-04-01,0.7,9.4,71.9
124,1988-05-01,0.3,9.2,72.1
125,1988-06-01,1.0,10.0,72.8
126,1988-07-01,0.1,9.6,72.9
127,1988-08-01,0.3,9.1,73.1
128,1988-09-01,0.3,8.4,73.3
129,1988-10-01,0.5,8.2,73.7
130,1988-11-01,0.3,8.0,73.9
131,1988-12-01,0.4,7.5,74.2
132,1989-01-01,0.3,6.6,74.4
133,1989-02-01,0.0,5.1,74.4
134,1989-03-01,0.1,4.3,74.5
135,1989-04-01,1.6,5.3,75.7
136,1989-05-01,0.1,5.1,75.8
137,1989-06-01,0.1,4.3,75.9
138,1989-07-01,0.0,4.1,75.9
139,1989-08-01,0.0,3.8,75.9
140,1989-09-01,0.1,3.7,76.0
141,1989-10-01,0.1,3.3,76.1
142,1989-11-01,0.0,3.0,76.1
143,1989-12-01,0.0,2.6,76.1
144,1990-01-01,0.9,3.2,76.8
145,1990-02-01,0.4,3.6,77.1
146,1990-03-01,0.0,3.5,77.1
147,1990-04-01,1.3,3.2,78.1
148,1990-05-01,0.1,3.2,78.2
149,1990-06-01,0.0,3.0,78.2
150,1990-07-01,0.1,3.2,78.3
151,1990-08-01,0.0,3.2,78.3
152,1990-09-01,0.1,3.2,78.4
153,1990-10-01,0.3,3.3,78.6
154,1990-11-01,0.0,3.3,78.6
155,1990-12-01,0.1,3.4,78.7
156,1991-01-01,0.4,2.9,79.0
157,1991-02-01,0.8,3.2,79.6
158,1991-03-01,0.4,3.6,79.9
159,1991-04-01,0.9,3.2,80.6
160,1991-05-01,0.1,3.2,80.7
161,1991-06-01,0.2,3.5,80.9
162,1991-07-01,0.0,3.3,80.9
163,1991-08-01,0.1,3.4,81.0
164,1991-09-01,0.0,3.3,81.0
165,1991-10-01,0.1,3.2,81.1
166,1991-11-01,-0.1,3.1,81.0
167,1991-12-01,0.0,2.9,81.0
168,1992-01-01,0.0,2.5,81.0
169,1992-02-01,0.1,1.9,81.1
170,1992-03-01,0.0,1.5,81.1
171,1992-04-01,0.0,0.6,81.1
172,1992-05-01,-0.1,0.4,81.0
173,1992-06-01,0.1,0.2,81.1
174,1992-07-01,0.1,0.4,81.2
175,1992-08-01,0.0,0.2,81.2
176,1992-09-01,0.0,0.2,81.2
177,1992-10-01,0.1,0.2,81.3
178,1992-11-01,0.1,0.5,81.4
179,1992-12-01,0.0,0.5,81.4
180,1993-01-01,-0.5,0.0,81.0
181,1993-02-01,0.2,0.1,81.2
182,1993-03-01,0.1,0.2,81.3
183,1993-04-01,0.2,0.5,81.5
184,1993-05-01,0.0,0.6,81.5
185,1993-06-01,0.0,0.5,81.5
186,1993-07-01,0.0,0.4,81.5
187,1993-08-01,0.0,0.4,81.5
188,1993-09-01,0.1,0.5,81.6
189,1993-10-01,0.1,0.5,81.7
190,1993-11-01,0.0,0.4,81.7
191,1993-12-01,0.0,0.4,81.7
192,1994-01-01,0.2,1.1,81.9
193,1994-02-01,0.0,0.9,81.9
194,1994-03-01,0.1,0.9,82.0
195,1994-04-01,0.6,1.2,82.5
196,1994-05-01,1.5,2.7,83.7
197,1994-06-01,0.7,3.4,84.3
198,1994-07-01,0.4,3.8,84.6
199,1994-08-01,1.2,5.0,85.6
200,1994-09-01,0.6,5.5,86.1
201,1994-10-01,0.1,5.5,86.2
202,1994-11-01,0.2,5.8,86.4
203,1994-12-01,0.3,6.1,86.7
204,1995-01-01,0.3,6.2,87.0
205,1995-02-01,0.7,7.0,87.6
206,1995-03-01,0.5,7.3,88.0
207,1995-04-01,0.8,7.5,88.7
208,1995-05-01,0.0,6.0,88.7
209,1995-06-01,0.0,5.2,88.7
210,1995-07-01,0.0,4.8,88.7
211,1995-08-01,0.0,3.6,88.7
212,1995-09-01,0.0,3.0,88.7
213,1995-10-01,0.0,2.9,88.7
214,1995-11-01,-0.1,2.5,88.6
215,1995-12-01,0.0,2.2,88.6
216,1996-01-01,0.1,2.0,88.7
217,1996-02-01,0.1,1.4,88.8
218,1996-03-01,0.2,1.1,89.0
219,1996-04-01,0.6,0.9,89.5
220,1996-05-01,-0.1,0.8,89.4
221,1996-06-01,0.0,0.8,89.4
222,1996-07-01,0.0,0.8,89.4
223,1996-08-01,0.1,0.9,89.5
224,1996-09-01,0.1,1.0,89.6
225,1996-10-01,0.0,1.0,89.6
226,1996-11-01,0.1,1.2,89.7
227,1996-12-01,0.1,1.4,89.8
228,1997-01-01,0.2,1.5,90.0
229,1997-02-01,0.2,1.6,90.2
230,1997-03-01,0.3,1.7,90.5
231,1997-04-01,0.7,1.8,91.1
232,1997-05-01,0.0,1.9,91.1
233,1997-06-01,0.1,2.0,91.2
234,1997-07-01,0.1,2.1,91.3
235,1997-08-01,0.1,2.1,91.4
236,1997-09-01,0.2,2.2,91.6
237,1997-10-01,0.1,2.3,91.7
238,1997-11-01,0.0,2.2,91.7
239,1997-12-01,0.1,2.2,91.8
240,1998-01-01,0.2,2.2,92.0
241,1998-02-01,0.2,2.2,92.2
242,1998-03-01,0.2,2.1,92.4
243,1998-04-01,1.3,2.7,93.6
244,1998-05-01,0.2,3.0,93.8
245,1998-06-01,0.1,3.0,93.9
246,1998-07-01,0.1,3.0,94.0
247,1998-08-01,0.1,3.0,94.1
248,1998-09-01,0.1,2.8,94.2
249,1998-10-01,1.1,3.8,95.2
250,1998-11-01,0.0,3.8,95.2
251,1998-12-01,0.0,3.7,95.2
252,1999-01-01,0.2,3.7,95.4
253,1999-02-01,0.3,3.8,95.7
254,1999-03-01,0.1,3.7,95.8
255,1999-04-01,0.1,2.5,95.9
256,1999-05-01,0.1,2.3,96.0
257,1999-06-01,0.0,2.2,96.0
258,1999-07-01,0.1,2.2,96.1
259,1999-08-01,0.0,2.1,96.1
260,1999-09-01,0.6,2.7,96.7
261,1999-10-01,0.1,1.7,96.8
262,1999-11-01,0.2,1.9,97.0
263,1999-12-01,1.0,2.9,98.0
264,2000-01-01,0.2,2.9,98.2
265,2000-02-01,0.4,3.0,98.6
266,2000-03-01,0.3,3.2,98.9
267,2000-04-01,0.2,3.3,99.1
268,2000-05-01,0.0,3.2,99.1
269,2000-06-01,0.3,3.5,99.4
270,2000-07-01,0.5,4.0,99.9
271,2000-08-01,0.1,4.1,100.0
272,2000-09-01,1.3,4.8,101.3
273,2000-10-01,0.2,4.9,101.5
274,2000-11-01,0.1,4.7,101.6
275,2000-12-01,0.8,4.5,102.4
276,2001-01-01,1.1,5.4,103.5
277,2001-02-01,0.4,5.4,103.9
278,2001-03-01,0.3,5.4,104.2
279,2001-04-01,0.1,5.2,104.3
280,2001-05-01,0.0,5.2,104.3
281,2001-06-01,0.2,5.1,104.5
282,2001-07-01,0.3,4.9,104.8
283,2001-08-01,0.1,4.9,104.9
284,2001-09-01,0.6,4.1,105.5
285,2001-10-01,0.1,4.0,105.6
286,2001-11-01,0.0,3.9,105.6
287,2001-12-01,0.9,4.1,106.6
288,2002-01-01,0.2,3.2,106.8
289,2002-02-01,0.2,3.0,107.0
290,2002-03-01,0.5,3.2,107.5
291,2002-04-01,0.1,3.2,107.6
292,2002-05-01,0.4,3.5,108.0
293,2002-06-01,0.0,3.3,108.0
