,region,type,time,variable,value
961,Oslo with Baerum,00 Boliger i alt,2005-03-01,"Prisindeks for brukte boliger, sesongjustert",51.0
963,Oslo with Baerum,00 Boliger i alt,2005-06-01,"Prisindeks for brukte boliger, sesongjustert",51.3
965,Oslo with Baerum,00 Boliger i alt,2005-09-01,"Prisindeks for brukte boliger, sesongjustert",52.5
967,Oslo with Baerum,00 Boliger i alt,2005-12-01,"Prisindeks for brukte boliger, sesongjustert",54.6
969,Oslo with Baerum,00 Boliger i alt,2006-03-01,"Prisindeks for brukte boliger, sesongjustert",56.4
971,Oslo with Baerum,00 Boliger i alt,2006-06-01,"Prisindeks for brukte boliger, sesongjustert",58.7
973,Oslo with Baerum,00 Boliger i alt,2006-09-01,"Prisindeks for brukte boliger, sesongjustert",61.8
975,Oslo with Baerum,00 Boliger i alt,2006-12-01,"Prisindeks for brukte boliger, sesongjustert",64.6
977,Oslo with Baerum,00 Boliger i alt,2007-03-01,"Prisindeks for brukte boliger, sesongjustert",67.2
979,Oslo with Baerum,00 Boliger i alt,2007-06-01,"Prisindeks for brukte boliger, sesongjustert",67.4
981,Oslo with Baerum,00 Boliger i alt,2007-09-01,"Prisindeks for brukte boliger, sesongjustert",67.2
983,Oslo with Baerum,00 Boliger i alt,2007-12-01,"Prisindeks for brukte boliger, sesongjustert",66.8
985,Oslo with Baerum,00 Boliger i alt,2008-03-01,"Prisindeks for brukte boliger, sesongjustert",66.2
987,Oslo with Baerum,00 Boliger i alt,2008-06-01,"Prisindeks for brukte boliger, sesongjustert",65.8
989,Oslo with Baerum,00 Boliger i alt,2008-09-01,"Prisindeks for brukte boliger, sesongjustert",64.0
991,Oslo with Baerum,00 Boliger i alt,2008-12-01,"Prisindeks for brukte boliger, sesongjustert",60.6
993,Oslo with Baerum,00 Boliger i alt,2009-03-01,"Prisindeks for brukte boliger, sesongjustert",62.0
995,Oslo with Baerum,00 Boliger i alt,2009-06-01,"Prisindeks for brukte boliger, sesongjustert",65.3
