,time,value
1,1995-01-01,101.0
6,1995-02-01,111.0
11,1995-03-01,141.0
16,1995-04-01,106.0
21,1995-05-01,151.0
26,1995-06-01,98.0
31,1995-07-01,70.0
36,1995-08-01,96.0
41,1995-09-01,83.0
46,1995-10-01,91.0
51,1995-11-01,117.0
56,1995-12-01,87.0
61,1996-01-01,114.0
66,1996-02-01,104.0
71,1996-03-01,147.0
76,1996-04-01,123.0
81,1996-05-01,123.0
86,1996-06-01,94.0
91,1996-07-01,81.0
96,1996-08-01,89.0
101,1996-09-01,106.0
106,1996-10-01,93.0
111,1996-11-01,100.0
116,1996-12-01,89.0
121,1997-01-01,98.0
126,1997-02-01,109.0
131,1997-03-01,76.0
136,1997-04-01,137.0
141,1997-05-01,130.0
146,1997-06-01,110.0
151,1997-07-01,79.0
156,1997-08-01,68.0
161,1997-09-01,115.0
166,1997-10-01,118.0
171,1997-11-01,91.0
176,1997-12-01,103.0
181,1998-01-01,100.0
186,1998-02-01,109.0
191,1998-03-01,143.0
196,1998-04-01,92.0
201,1998-05-01,96.0
206,1998-06-01,113.0
211,1998-07-01,70.0
216,1998-08-01,80.0
221,1998-09-01,101.0
226,1998-10-01,121.0
231,1998-11-01,105.0
236,1998-12-01,121.0
241,1999-01-01,91.0
246,1999-02-01,112.0
251,1999-03-01,131.0
256,1999-04-01,84.0
261,1999-05-01,110.0
266,1999-06-01,131.0
271,1999-07-01,99.0
276,1999-08-01,106.0
281,1999-09-01,115.0
286,1999-10-01,121.0
291,1999-11-01,118.0
296,1999-12-01,110.0
301,2000-01-01,115.0
306,2000-02-01,119.0
311,2000-03-01,165.0
316,2000-04-01,123.0
321,2000-05-01,143.0
326,2000-06-01,138.0
331,2000-07-01,103.0
336,2000-08-01,110.0
341,2000-09-01,126.0
346,2000-10-01,145.0
351,2000-11-01,154.0
356,2000-12-01,104.0
361,2001-01-01,132.0
366,2001-02-01,165.0
371,2001-03-01,177.0
376,2001-04-01,106.0
381,2001-05-01,154.0
386,2001-06-01,91.0
391,2001-07-01,80.0
396,2001-08-01,86.0
401,2001-09-01,88.0
406,2001-10-01,130.0
411,2001-11-01,107.0
416,2001-12-01,84.0
421,2002-01-01,100.0
426,2002-02-01,147.0
431,2002-03-01,103.0
436,2002-04-01,195.0
441,2002-05-01,174.0
446,2002-06-01,152.0
451,2002-07-01,96.0
456,2002-08-01,127.0
461,2002-09-01,160.0
466,2002-10-01,208.0
471,2002-11-01,187.0
476,2002-12-01,172.0
481,2003-01-01,196.0
486,2003-02-01,231.0
491,2003-03-01,209.0
496,2003-04-01,200.0
501,2003-05-01,230.0
506,2003-06-01,196.0
511,2003-07-01,112.0
516,2003-08-01,124.0
521,2003-09-01,183.0
526,2003-10-01,191.0
531,2003-11-01,147.0
536,2003-12-01,118.0
541,2004-01-01,129.0
546,2004-02-01,132.0
551,2004-03-01,182.0
556,2004-04-01,144.0
561,2004-05-01,153.0
566,2004-06-01,162.0
571,2004-07-01,105.0
576,2004-08-01,132.0
581,2004-09-01,125.0
586,2004-10-01,121.0
591,2004-11-01,131.0
596,2004-12-01,97.0
601,2005-01-01,132.0
606,2005-02-01,180.0
611,2005-03-01,141.0
616,2005-04-01,162.0
621,2005-05-01,153.0
626,2005-06-01,130.0
631,2005-07-01,78.0
636,2005-08-01,94.0
641,2005-09-01,83.0
646,2005-10-01,80.0
651,2005-11-01,94.0
656,2005-12-01,53.0
661,2006-01-01,88.0
666,2006-02-01,113.0
671,2006-03-01,139.0
676,2006-04-01,72.0
681,2006-05-01,75.0
686,2006-06-01,91.0
691,2006-07-01,69.0
696,2006-08-01,71.0
701,2006-09-01,91.0
706,2006-10-01,94.0
711,2006-11-01,95.0
716,2006-12-01,82.0
721,2007-01-01,108.0
726,2007-02-01,102.0
731,2007-03-01,128.0
736,2007-04-01,77.0
741,2007-05-01,98.0
746,2007-06-01,84.0
751,2007-07-01,57.0
756,2007-08-01,70.0
761,2007-09-01,71.0
766,2007-10-01,76.0
771,2007-11-01,78.0
776,2007-12-01,52.0
781,2008-01-01,63.0
786,2008-02-01,69.0
791,2008-03-01,74.0
796,2008-04-01,102.0
801,2008-05-01,89.0
806,2008-06-01,95.0
811,2008-07-01,78.0
816,2008-08-01,80.0
821,2008-09-01,94.0
826,2008-10-01,128.0
831,2008-11-01,81.0
836,2008-12-01,84.0
841,2009-01-01,114.0
846,2009-02-01,97.0
851,2009-03-01,114.0
856,2009-04-01,112.0
861,2009-05-01,103.0
866,2009-06-01,148.0
871,2009-07-01,49.0
876,2009-08-01,79.0
881,2009-09-01,82.0
