,date,trade_bal,trade_bal_ex_pet
0,1980-01-01,1187.0,-3042.0
1,1980-02-01,922.0,-2505.0
2,1980-03-01,672.0,-3052.0
3,1980-04-01,1213.0,-2757.0
4,1980-05-01,583.0,-2892.0
5,1980-06-01,141.0,-3303.0
6,1980-07-01,-666.0,-2507.0
7,1980-08-01,454.0,-3211.0
8,1980-09-01,825.0,-2579.0
9,1980-10-01,635.0,-3434.0
10,1980-11-01,474.0,-3251.0
11,1980-12-01,1631.0,-3188.0
12,1981-01-01,1882.0,-2218.0
13,1981-02-01,660.0,-2874.0
14,1981-03-01,517.0,-3644.0
15,1981-04-01,2445.0,-2077.0
16,1981-05-01,1200.0,-3127.0
17,1981-06-01,3420.0,-1755.0
18,1981-07-01,1693.0,-2207.0
19,1981-08-01,-624.0,-2826.0
20,1981-09-01,882.0,-3127.0
21,1981-10-01,878.0,-3165.0
22,1981-11-01,495.0,-3270.0
23,1981-12-01,1131.0,-3115.0
24,1982-01-01,1550.0,-3025.0
25,1982-02-01,953.0,-3218.0
26,1982-03-01,1632.0,-3197.0
27,1982-04-01,1650.0,-2720.0
28,1982-05-01,1421.0,-2327.0
29,1982-06-01,-289.0,-3754.0
30,1982-07-01,1594.0,-2908.0
31,1982-08-01,501.0,-3650.0
32,1982-09-01,545.0,-4006.0
33,1982-10-01,1060.0,-3724.0
34,1982-11-01,848.0,-3465.0
35,1982-12-01,2024.0,-3265.0
36,1983-01-01,1141.0,-2735.0
37,1983-02-01,2135.0,-2342.0
38,1983-03-01,2395.0,-3306.0
39,1983-04-01,4404.0,-1888.0
40,1983-05-01,1483.0,-2838.0
41,1983-06-01,1570.0,-3070.0
42,1983-07-01,4349.0,-2005.0
43,1983-08-01,2624.0,-2760.0
44,1983-09-01,1887.0,-2817.0
45,1983-10-01,3522.0,-3121.0
46,1983-11-01,2745.0,-2832.0
47,1983-12-01,4734.0,-2415.0
48,1984-01-01,4000.0,-2275.0
49,1984-02-01,2822.0,-2995.0
50,1984-03-01,2814.0,-3283.0
51,1984-04-01,3541.0,-2453.0
52,1984-05-01,2657.0,-3406.0
53,1984-06-01,2707.0,-3550.0
54,1984-07-01,5362.0,-1546.0
55,1984-08-01,1932.0,-3980.0
56,1984-09-01,2731.0,-3589.0
57,1984-10-01,2818.0,-4669.0
58,1984-11-01,3831.0,-3807.0
59,1984-12-01,5718.0,-2578.0
60,1985-01-01,4342.0,-3799.0
61,1985-02-01,2840.0,-4294.0
62,1985-03-01,3726.0,-4448.0
63,1985-04-01,4529.0,-3806.0
64,1985-05-01,3413.0,-3460.0
65,1985-06-01,2341.0,-4056.0
66,1985-07-01,3669.0,-3637.0
67,1985-08-01,2547.0,-4549.0
68,1985-09-01,2788.0,-4779.0
69,1985-10-01,2026.0,-6160.0
70,1985-11-01,1672.0,-5955.0
71,1985-12-01,4278.0,-5003.0
72,1986-01-01,1915.0,-5967.0
73,1986-02-01,143.0,-5855.0
74,1986-03-01,856.0,-5408.0
75,1986-04-01,-5680.0,-8211.0
76,1986-05-01,-2642.0,-6411.0
77,1986-06-01,-2083.0,-6218.0
78,1986-07-01,-2240.0,-6311.0
79,1986-08-01,-1122.0,-5808.0
80,1986-09-01,-2801.0,-7069.0
81,1986-10-01,-2059.0,-7499.0
82,1986-11-01,-237.0,-5892.0
83,1986-12-01,-255.0,-5991.0
84,1987-01-01,508.0,-5134.0
85,1987-02-01,1745.0,-5483.0
86,1987-03-01,-1148.0,-6377.0
87,1987-04-01,634.0,-6309.0
88,1987-05-01,-344.0,-5125.0
89,1987-06-01,-1331.0,-5737.0
90,1987-07-01,639.0,-4550.0
91,1987-08-01,-2820.0,-5652.0
92,1987-09-01,-1889.0,-5511.0
93,1987-10-01,-709.0,-5467.0
94,1987-11-01,-1160.0,-5598.0
95,1987-12-01,-1622.0,-5001.0
96,1988-01-01,2164.0,-2586.0
97,1988-02-01,-757.0,-4589.0
98,1988-03-01,-2317.0,-6212.0
99,1988-04-01,-168.0,-4189.0
100,1988-05-01,-993.0,-4691.0
101,1988-06-01,-1205.0,-3269.0
102,1988-07-01,545.0,-2591.0
103,1988-08-01,435.0,-3267.0
104,1988-09-01,207.0,-3306.0
105,1988-10-01,678.0,-3786.0
106,1988-11-01,-1208.0,-3424.0
107,1988-12-01,-2317.0,-2876.0
108,1989-01-01,3398.0,-2039.0
109,1989-02-01,706.0,-2679.0
110,1989-03-01,2904.0,-2350.0
111,1989-04-01,2722.0,-3494.0
112,1989-05-01,3616.0,-1951.0
113,1989-06-01,1643.0,-2339.0
114,1989-07-01,3355.0,-1367.0
115,1989-08-01,3018.0,-2386.0
116,1989-09-01,1518.0,-2947.0
117,1989-10-01,1213.0,-3101.0
118,1989-11-01,727.0,-3168.0
119,1989-12-01,-1054.0,-2623.0
120,1990-01-01,3731.0,-3560.0
121,1990-02-01,2311.0,-2594.0
122,1990-03-01,1474.0,-4124.0
123,1990-04-01,1028.0,-2948.0
124,1990-05-01,-1773.0,-6368.0
125,1990-06-01,3555.0,-1793.0
126,1990-07-01,3105.0,-2724.0
127,1990-08-01,3310.0,-2974.0
128,1990-09-01,6312.0,-2485.0
129,1990-10-01,6704.0,-3976.0
130,1990-11-01,5479.0,-4373.0
131,1990-12-01,6345.0,-2291.0
132,1991-01-01,6236.0,-2629.0
133,1991-02-01,4493.0,-2743.0
134,1991-03-01,4432.0,-1875.0
135,1991-04-01,2787.0,-7029.0
136,1991-05-01,5778.0,-2738.0
137,1991-06-01,5742.0,-2331.0
138,1991-07-01,5864.0,-3051.0
139,1991-08-01,2507.0,-3389.0
140,1991-09-01,7718.0,-3071.0
141,1991-10-01,2958.0,-4852.0
142,1991-11-01,1718.0,-6238.0
143,1991-12-01,4901.0,-3837.0
144,1992-01-01,6159.0,-3614.0
145,1992-02-01,3389.0,-4253.0
146,1992-03-01,6190.0,-4305.0
147,1992-04-01,4559.0,-4161.0
148,1992-05-01,4642.0,-3492.0
149,1992-06-01,4568.0,-3459.0
150,1992-07-01,4820.0,-3293.0
151,1992-08-01,3984.0,-3680.0
152,1992-09-01,3643.0,-4515.0
153,1992-10-01,4705.0,-4097.0
154,1992-11-01,4614.0,-3775.0
155,1992-12-01,5169.0,-4683.0
156,1993-01-01,5331.0,-2629.0
157,1993-02-01,4345.0,-3855.0
158,1993-03-01,3665.0,-4795.0
159,1993-04-01,7961.0,-3142.0
160,1993-05-01,5960.0,-2556.0
161,1993-06-01,5725.0,-3062.0
162,1993-07-01,4685.0,-3790.0
163,1993-08-01,5727.0,-3343.0
164,1993-09-01,1261.0,-5047.0
165,1993-10-01,5058.0,-3791.0
166,1993-11-01,2731.0,-5354.0
167,1993-12-01,3185.0,-4933.0
168,1994-01-01,4517.0,-3613.0
169,1994-02-01,4687.0,-4863.0
170,1994-03-01,1583.0,-4969.0
171,1994-04-01,2128.0,-5329.0
172,1994-05-01,5294.0,-4258.0
173,1994-06-01,5510.0,-3980.0
174,1994-07-01,3809.0,-6224.0
175,1994-08-01,1775.0,-4752.0
176,1994-09-01,4765.0,-4430.0
177,1994-10-01,5730.0,-3747.0
178,1994-11-01,5962.0,-4991.0
179,1994-12-01,5752.0,-5299.0
180,1995-01-01,6695.0,-3463.0
181,1995-02-01,5188.0,-3755.0
182,1995-03-01,4879.0,-3818.0
183,1995-04-01,4764.0,-5088.0
184,1995-05-01,4678.0,-5954.0
185,1995-06-01,3201.0,-5816.0
186,1995-07-01,6671.0,-3915.0
187,1995-08-01,3637.0,-5397.0
188,1995-09-01,4211.0,-5069.0
189,1995-10-01,4523.0,-6098.0
190,1995-11-01,2885.0,-6979.0
191,1995-12-01,5926.0,-4265.0
192,1996-01-01,7414.0,-3638.0
193,1996-02-01,6659.0,-4453.0
194,1996-03-01,7904.0,-5230.0
195,1996-04-01,8222.0,-5087.0
196,1996-05-01,7067.0,-5498.0
197,1996-06-01,5454.0,-5141.0
198,1996-07-01,6450.0,-6012.0
199,1996-08-01,8736.0,-4743.0
200,1996-09-01,7536.0,-6282.0
201,1996-10-01,7417.0,-6960.0
202,1996-11-01,10696.0,-5804.0
203,1996-12-01,6853.0,-6858.0
204,1997-01-01,10862.0,-3609.0
205,1997-02-01,7462.0,-4483.0
206,1997-03-01,8527.0,-5441.0
207,1997-04-01,5689.0,-6725.0
208,1997-05-01,9337.0,-5062.0
209,1997-06-01,4516.0,-5695.0
