,date,sex,value
6401,2006-02-01,Both sexes,62.0
6402,2006-03-01,Both sexes,58.0
6403,2006-04-01,Both sexes,54.0
6404,2006-05-01,Both sexes,55.0
6405,2006-06-01,Both sexes,54.0
6406,2006-07-01,Both sexes,53.0
6407,2006-08-01,Both sexes,51.0
6408,2006-09-01,Both sexes,49.0
6409,2006-10-01,Both sexes,46.0
6410,2006-11-01,Both sexes,44.0
6411,2006-12-01,Both sexes,41.0
6412,2007-01-01,Both sexes,40.0
6413,2007-02-01,Both sexes,39.0
6414,2007-03-01,Both sexes,38.0
6415,2007-04-01,Both sexes,38.0
6416,2007-05-01,Both sexes,36.0
6417,2007-06-01,Both sexes,39.0
6418,2007-07-01,Both sexes,40.0
6419,2007-08-01,Both sexes,38.0
6420,2007-09-01,Both sexes,36.0
6421,2007-10-01,Both sexes,35.0
6422,2007-11-01,Both sexes,37.0
6423,2007-12-01,Both sexes,37.0
6424,2008-01-01,Both sexes,37.0
6425,2008-02-01,Both sexes,36.0
6426,2008-03-01,Both sexes,35.0
6427,2008-04-01,Both sexes,36.0
6428,2008-05-01,Both sexes,39.0
6429,2008-06-01,Both sexes,41.0
6430,2008-07-01,Both sexes,41.0
6431,2008-08-01,Both sexes,42.0
6432,2008-09-01,Both sexes,43.0
6433,2008-10-01,Both sexes,45.0
6434,2008-11-01,Both sexes,45.0
6435,2008-12-01,Both sexes,46.0
6436,2009-01-01,Both sexes,46.0
6437,2009-02-01,Both sexes,47.0
6438,2009-03-01,Both sexes,49.0
6439,2009-04-01,Both sexes,50.0
6440,2009-05-01,Both sexes,50.0
6441,2009-06-01,Both sexes,48.0
6442,2009-07-01,Both sexes,50.0
6443,2009-08-01,Both sexes,49.0
6444,2009-09-01,Both sexes,51.0
6445,2009-10-01,Both sexes,53.0
6446,2009-11-01,Both sexes,56.0
6447,2009-12-01,Both sexes,59.0
6448,2010-01-01,Both sexes,59.0
6449,2010-02-01,Both sexes,64.0
6450,2010-03-01,Both sexes,62.0
6451,2010-04-01,Both sexes,62.0
6452,2010-05-01,Both sexes,59.0
6453,2010-06-01,Both sexes,63.0
6454,2010-07-01,Both sexes,62.0
