"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,169,"NOR","Norway",1,"Ãstfold","NO.OF",NA,"","Fylke","County","","Oestfold fylke"
2,169,"NOR","Norway",2,"Akershus","NO.AK",NA,"","Fylke","County","","Akershus fylke"
3,169,"NOR","Norway",3,"Aust-Agder","NO.AA",NA,"","Fylke","County","","Aust-Agder fylke|Austur-Agðir|Nedenes"
4,169,"NOR","Norway",4,"Buskerud","NO.BU",NA,"","Fylke","County","","Buskerud fylke"
5,169,"NOR","Norway",5,"Finnmark","NO.FI",NA,"","Fylke","County","","Finnmark fylke|Finmarken|Finnmárkku|Finnmörk"
6,169,"NOR","Norway",6,"Hedmark","NO.HE",NA,"","Fylke","County","","Hedmark fylke|Hedemarken|Heiðmörk"
7,169,"NOR","Norway",7,"Hordaland","NO.HO",NA,"","Fylke","County","","Hordaland fylke|Hörðaland|Søndre Bergenhus"
8,169,"NOR","Norway",8,"Møre og Romsdal","NO.MR",NA,"","Fylke","County","","Moere og Romsdal fylk|Møre|Romsdal"
9,169,"NOR","Norway",9,"Nord-Trøndelag","NO.NT",NA,"","Fylke","County","","Nord-Troendelag fylke|Nordre Trondhjem|Norður-Þrændalög"
10,169,"NOR","Norway",10,"Nordland","NO.NO",NA,"","Fylke","County","","Nordland fylke"
11,169,"NOR","Norway",11,"Oppland","NO.OP",NA,"","Fylke","County","","Oppland fylke|Kristian|Opland|Upplönd"
12,169,"NOR","Norway",12,"Oslo","NO.OS",NA,"","Fylke","County","","Oslo fylke|Kristiania"
13,169,"NOR","Norway",13,"Rogaland","NO.RO",NA,"","Fylke","County","","Rogaland fylke|Stavanger"
14,169,"NOR","Norway",14,"Sør-Trøndelag","NO.ST",NA,"","Fylke","County","","Soer-Troendelag fylke|Søndre Trondhjem|Suður-Þrændalög"
15,169,"NOR","Norway",15,"Sogn og Fjordane","NO.SF",NA,"","Fylke","County","","Sogn og Fjordane fyl|Nordre Bergenhus|Sogn og Firða-Fylki"
16,169,"NOR","Norway",16,"Telemark","NO.TE",NA,"","Fylke","County","","Telemark fylke|Bratsberg|Þelamörk"
17,169,"NOR","Norway",17,"Troms","NO.TR",NA,"","Fylke","County","","Troms fylke|Tromsø|Troms-Fylki"
18,169,"NOR","Norway",18,"Vest-Agder","NO.VA",NA,"","Fylke","County","","Vest-Agder fylke|Lister og Mandal|Vestur-Agðir"
19,169,"NOR","Norway",19,"Vestfold","NO.VF",NA,"","Fylke","County","","Vestfold fylke|Jarlsberg og Larvik"
