,kode,princ
0,101.0,Halden
1,104.0,Moss
2,105.0,Sarpsborg
3,106.0,Fredrikstad
4,111.0,Hvaler
5,118.0,Aremark
6,119.0,Marker
7,121.0,Rømskog
8,122.0,Trøgstad
9,123.0,Spydeberg
10,124.0,Askim
11,125.0,Eidsberg
12,127.0,Skiptvet
13,128.0,Rakkestad
14,135.0,Råde
15,136.0,Rygge
18,138.0,Hobøl
19,211.0,Vestby
20,213.0,Ski
21,214.0,Ås
22,215.0,Frogn
23,216.0,Nesodden
24,217.0,Oppegård
25,219.0,Bærum
26,220.0,Asker
27,221.0,Aurskog-Høland
28,226.0,Sørum
29,227.0,Fet
30,228.0,Rælingen
31,229.0,Enebakk
32,230.0,Lørenskog
33,231.0,Skedsmo
34,233.0,Nittedal
35,234.0,Gjerdrum
36,235.0,Ullensaker
39,237.0,Eidsvoll
40,238.0,Nannestad
41,239.0,Hurdal
43,402.0,Kongsvinger
44,403.0,Hamar
45,412.0,Ringsaker
46,415.0,Løten
47,417.0,Stange
48,418.0,Nord-Odal
49,419.0,Sør-Odal
50,420.0,Eidskog
51,423.0,Grue
52,425.0,Åsnes
53,427.0,Elverum
54,428.0,Trysil
55,429.0,Åmot
56,430.0,Stor-Elvdal
57,432.0,Rendalen
58,434.0,Engerdal
59,436.0,Tolga
60,437.0,Tynset
61,438.0,Alvdal
62,439.0,Folldal
65,501.0,Lillehammer
66,502.0,Gjøvik
67,511.0,Dovre
68,512.0,Lesja
69,513.0,Skjåk
70,514.0,Lom
71,515.0,Vågå
72,516.0,Nord-Fron
73,517.0,Sel
74,519.0,Sør-Fron
75,520.0,Ringebu
76,521.0,Øyer
77,522.0,Gausdal
78,528.0,Østre Toten
79,529.0,Vestre Toten
80,532.0,Jevnaker
81,533.0,Lunner
82,534.0,Gran
83,536.0,Søndre Land
84,538.0,Nordre Land
85,540.0,Sør-Aurdal
86,541.0,Etnedal
87,542.0,Nord-Aurdal
88,543.0,Vestre Slidre
89,544.0,Øystre Slidre
90,545.0,Vang
91,602.0,Drammen
92,604.0,Kongsberg
93,605.0,Ringerike
94,612.0,Hole
95,615.0,Flå
96,617.0,Gol
97,618.0,Hemsedal
98,619.0,Ål
99,620.0,Hol
100,621.0,Sigdal
101,622.0,Krødsherad
102,623.0,Modum
103,624.0,Øvre Eiker
104,625.0,Nedre Eiker
105,626.0,Lier
106,627.0,Røyken
107,628.0,Hurum
108,631.0,Flesberg
109,632.0,Rollag
110,633.0,Nore og Uvdal
111,701.0,Horten
112,702.0,Holmestrand
113,704.0,Tønsberg
114,706.0,Sandefjord
115,709.0,Larvik
116,711.0,Svelvik
119,714.0,Hof
120,716.0,Re
121,719.0,Andebu
122,720.0,Stokke
123,722.0,Nøtterøy
124,723.0,Tjøme
125,728.0,Lardal
126,805.0,Porsgrunn
127,806.0,Skien
128,807.0,Notodden
129,811.0,Siljan
130,814.0,Bamble
131,815.0,Kragerø
132,817.0,Drangedal
133,819.0,Nome
136,822.0,Sauherad
137,826.0,Tinn
138,827.0,Hjartdal
139,828.0,Seljord
140,829.0,Kviteseid
141,830.0,Nissedal
142,831.0,Fyresdal
143,833.0,Tokke
144,834.0,Vinje
145,901.0,Risør
146,904.0,Grimstad
147,906.0,Arendal
148,911.0,Gjerstad
149,912.0,Vegårshei
150,914.0,Tvedestrand
151,919.0,Froland
152,926.0,Lillesand
153,928.0,Birkenes
154,929.0,Åmli
155,935.0,Iveland
